STLD,32.25,32.5600013733
CNI,94.4800033569,95.1299972534
PGC,28.25,28.6800003052
CL,71.9199981689,73.8499984741
AON,196.7100067139,194.5599975586
GHM,20.1399993896,20.5300006866
ARLP,17.0,17.1399993896
NVS,93.1399993896,92.3600006104
PBR,15.4300003052,15.0200004578
BVN,17.4500007629,16.1399993896
DISH,39.2999992371,38.7200012207
RL,109.6699981689,109.7099990845
NEM,38.0299987793,37.4799995422
XBI,84.3399963379,85.6399993896
CCXI,7.5799999237,7.7600002289
JNJ,131.3000030518,131.0
IBB,104.2799987793,105.5999984741
ROCK,39.0,41.0999984741
TMUS,81.0999984741,84.6299972534
BAX,85.7900009155,85.1999969482
ALKS,20.6399993896,20.5900001526
ASMB,12.3299999237,12.1099996567
ATRA,14.3400001526,14.6499996185
ICPT,65.3600006104,64.0
DVAX,2.8900001049,2.8099999428
CHTR,380.0,398.7799987793
MXL,25.0,23.0499992371
B,52.8499984741,52.0999984741
EBAY,40.9300003052,41.2799987793
CLVS,10.720000267,10.779999733
CCO,3.2999999523,3.3299999237
SHI,35.7299995422,35.25
CCJ,9.1999998093,9.279999733
III,2.7200000286,2.7100000381
BGFV,1.75,1.6900000572
SJT,3.1900000572,3.1199998856
RRD,1.8099999428,1.7400000095
REGI,13.3400001526,13.7899999619
PDS,32.7999992371,32.2000007629
NFG,46.8100013733,46.1100006104
TRQ,5.8000001907,5.8000001907
LPL,6.7100000381,6.6399998665
SWN,2.1700000763,2.0299999714
EQT,14.6499996185,14.3199996948
PFSW,3.4500000477,3.4100000858
BLIN,2.0899999142,1.9900000095
CNX,6.7199997902,6.5700001717
OAS,4.5599999428,4.5300002098
NVAX,4.3400001526,4.2199997902
ERF,6.2199997902,6.1999998093
