DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-01,0,0,0,0,0,0,0,0,0,282,186
2019-01-02,30,17,47.8361262083158,47.6822308301921,117.0037727701,115.35458154270262,38,50,1.0,220,163
2019-01-03,23,33,113.839877190588,114.32274000645201,96.74647887229798,97.516541261672,50,50,0.75,171,117
2019-01-04,39,2,123.43080943130464,119.59381076901627,101.34302291204881,98.84651110892794,43,50,1.010752688172043,263,152
2019-01-07,42,9,79.81036828994998,77.743439269062,66.31280000806201,65.46899980426201,50,50,0.87,296,204
2019-01-08,34,24,38.50016458034799,38.13560155749,58.13266800165199,58.20056562900199,50,50,0.84,246,163
2019-01-09,19,32,66.66152048588401,67.290935218332,50.39581857264802,50.86776528954401,50,50,0.82,221,143
2019-01-10,28,23,120.5546263067061,120.34407454119999,51.36397682403467,51.28226343952653,49,50,0.8787878787878788,230,130
2019-01-11,28,21,108.39310189087706,107.76552058756042,69.13357317571248,69.17354221641875,48,50,0.9081632653061225,266,176
2019-01-14,30,19,45.031000263692,45.11326691388999,84.69670732736998,83.911116211414,50,50,0.92,187,132
2019-01-15,38,11,72.63964233755999,71.76539501071201,80.81136626243203,79.62175079822003,50,50,0.81,216,137
2019-01-16,21,31,66.16619022250597,66.55472419976799,63.89901938460602,64.16216672925401,50,50,0.88,208,156
2019-01-17,38,13,86.52373191550197,85.23717142843199,61.417195141315986,60.305053884973994,50,50,0.87,165,106
2019-01-18,32,29,81.05993501662998,81.02657465935201,77.78740029811601,77.75599961042201,50,50,0.91,263,187
2019-01-22,27,31,66.198630733496,66.334028215408,45.72013315201002,46.13859987259,50,50,0.89,261,181
2019-01-23,33,27,60.008443017002016,59.44120331764199,55.21870425224201,55.13241683245,50,50,0.91,294,207
2019-01-24,39,14,100.03300004006,98.52559968710003,48.04703065156599,47.692791349878,50,50,0.93,178,128
2019-01-25,19,43,114.83940918923,118.11969354629598,102.87474924802798,103.96729919433602,50,50,0.95,273,198
2019-01-28,37,19,41.71680952071998,41.350980491635994,48.19692119836001,48.227437430609996,50,50,0.95,256,162
2019-01-29,31,26,102.18695627689,102.00473310470399,64.58345576047999,64.76852306604401,50,50,0.86,252,189
2019-01-30,38,19,59.437599134450004,58.223774070744,62.62367958069001,62.678800716397994,50,50,0.92,237,166
2019-01-31,39,17,94.992287762162,94.035216386322,58.45720030784001,57.49066635131601,50,49,0.8787878787878788,195,129
2019-02-01,30,29,87.53108411647021,87.14720906095533,82.17068550434463,82.12387052495319,47,50,0.9484536082474226,194,116
2019-02-04,37,17,97.309927990446,96.34074595689799,82.81043192387601,82.441876692776,50,50,0.94,247,178
2019-02-05,35,25,66.11799959182399,64.81530019760402,70.36958489894799,71.248509726524,50,50,0.93,248,193
2019-02-06,20,31,68.73691183090601,68.91076116561996,63.387152323726,63.69923323213201,50,50,0.95,280,208
2019-02-07,25,33,82.89164399624003,82.788882062436,51.94704966902799,52.91805003643201,50,50,0.88,158,117
2019-02-08,32,15,63.123999786373986,62.55730024338002,70.15527320862002,69.38856048584601,50,50,0.88,232,157
2019-02-11,36,17,72.760146204234,72.27476573944404,104.77066208361997,104.31775881290001,50,50,0.87,214,153
2019-02-12,32,21,45.93230026841399,45.458400382989986,81.27941374985403,81.055674575624,50,50,0.94,272,214
2019-02-13,20,30,55.335664458273996,56.11562581538998,40.762744521066004,41.31777920452601,50,50,0.89,393,226
2019-02-14,36,15,69.505429472932,68.34961414336999,83.98480036258799,82.94559999465999,50,50,0.84,261,143
2019-02-15,32,24,53.560317785738,53.63297491073802,91.02273608684597,91.49416845321402,50,50,0.94,264,177
2019-02-19,37,15,46.331279883384,45.861599668264006,55.7200330472,55.497523052697986,50,50,0.91,288,206
2019-02-20,28,35,61.027000095842006,60.81500056743402,50.469654672148,51.217793855672,50,50,0.93,309,222
2019-02-21,27,24,50.233209609983994,49.760476942055995,87.53586320876798,88.36724644899397,50,50,0.9,205,151
2019-02-22,36,9,72.19446364316138,70.44920519264772,108.01170552860228,106.67488547347499,44,50,0.9680851063829787,237,164
2019-02-25,17,39,57.17260480880001,57.69768476485799,92.18838162422,93.17176839828198,50,50,0.88,274,211
2019-02-26,22,26,57.33068496704201,57.43190208912199,76.620599391458,76.69866009832,50,50,0.87,250,186
2019-02-27,31,35,58.648741246456,59.134882198578,68.99939051627803,70.04696023463801,50,50,0.94,268,189
2019-02-28,32,25,63.408435564043984,62.635646495821995,53.339200148581995,53.400999860762,50,50,0.93,194,138
2019-03-01,28,24,67.948800349234,67.66519979715,46.868855824469996,46.86929180145201,50,50,0.82,225,153
2019-03-04,22,40,68.77013457536998,69.343125972744,79.62122116327198,81.370991315844,50,50,0.88,217,144
2019-03-05,25,27,90.12214450538333,89.06043339769165,65.26471396535625,65.47641742974167,48,50,0.8163265306122449,243,183
2019-03-06,18,41,56.301577417958015,56.687748720444,110.18177703381,111.71551275014198,50,50,0.89,230,160
2019-03-07,10,40,46.61769992350799,47.518299906248,70.11282579183802,72.04071159959197,50,50,0.71,166,116
2019-03-08,30,22,110.40941450783946,108.49283841722105,64.34631586702632,64.35934240566841,38,50,1.0227272727272727,210,123
2019-03-11,42,8,53.632106099130006,52.46839962721001,57.805099287026,57.054400219916,50,50,0.76,190,126
2019-03-12,30,24,107.72248302035555,110.03211216926445,69.03386690881334,69.86502201822003,45,50,0.8315789473684211,185,124
