BAC,28.8500003815,28.6700000763
HALO,16.6900005341,16.9599990845
NKSH,37.9700012207,36.9599990845
REG,64.8600006104,64.5400009155
ROP,294.2900085449,296.3999938965
GEO,22.75,23.25
SMP,50.5099983215,50.1599998474
GLD,124.2900009155,124.1600036621
ZION,48.9500007629,48.5900001526
MA,215.0,215.25
MKTX,215.6199951172,218.0899963379
SAIA,66.7900009155,67.1699981689
ICPT,120.4599990845,119.7699966431
ESI,11.8500003815,11.6999998093
COP,69.6500015259,68.6600036621
CPRX,2.3699998856,2.1800000668
BMY,51.0200004578,50.0400009155
DIA,253.3600006104,253.6300048828
JKS,16.1299991608,16.25
CDXS,21.0400009155,20.9300003052
CPT,97.1699981689,97.8899993896
AON,167.3200073242,168.2599945068
LBTYA,25.5799999237,25.8600006104
LBTYK,24.7199993134,25.0
POST,63.1413612366,63.0759162903
LFVN,14.9200000763,14.8299999237
DECK,140.3500061035,139.3200073242
NSSC,9.2749996185,9.4949998856
AMTX,1.1599999666,1.1299999952
MRK,73.8358764648,73.3206100464
BABA,168.5500030518,171.8600006104
NFLX,353.200012207,357.0
XOM,75.1800003052,75.5800018311
AVB,195.0,194.7400054932
CLX,157.4900054932,152.5899963379
INTU,221.4299926758,224.1499938965
BLRX,7.0500001907,6.5999999046
PZZA,42.0299987793,43.7999992371
NEP,41.6399993896,40.4000015259
