DATE,LONG CORRECT,SHORT CORRECT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-01,0,0,0,0,0,282,186
2019-01-02,30,18,38,50,1.0,220,163
2019-01-03,23,33,50,50,0.75,171,117
2019-01-06,39,2,43,50,1.010752688172043,263,152
2019-01-07,42,9,50,50,0.87,296,204
2019-01-08,34,24,50,50,0.84,246,163
2019-01-09,19,32,50,50,0.82,221,143
2019-01-10,28,23,49,50,0.8787878787878788,230,130
2019-01-13,28,21,48,50,0.9081632653061225,266,176
2019-01-14,30,19,50,50,0.93,187,132
2019-01-15,38,10,50,50,0.82,216,137
2019-01-16,21,31,50,50,0.89,208,156
2019-01-17,38,13,50,50,0.86,165,106
2019-01-21,32,29,50,50,0.91,263,187
2019-01-22,26,31,50,50,0.89,261,181
2019-01-23,33,27,50,50,0.91,294,207
2019-01-24,39,14,50,50,0.93,178,128
2019-01-27,19,43,50,50,0.95,273,198
2019-01-28,37,19,50,50,0.95,256,162
2019-01-29,31,26,50,50,0.86,252,189
2019-01-30,38,19,50,50,0.92,237,166
2019-01-31,39,17,50,49,0.8888888888888888,195,129
2019-02-03,30,29,47,50,0.9484536082474226,194,116
2019-02-04,37,17,50,50,0.94,247,178
2019-02-05,35,25,50,50,0.93,248,193
2019-02-06,20,31,50,50,0.95,280,208
2019-02-07,25,33,50,50,0.88,158,117
2019-02-10,32,15,50,50,0.87,232,157
2019-02-11,36,17,50,50,0.85,214,153
2019-02-12,32,21,50,50,0.95,272,214
2019-02-13,20,30,50,50,0.89,393,226
2019-02-14,35,14,50,50,0.84,261,143
2019-02-18,32,24,50,50,0.94,264,177
2019-02-19,37,15,50,50,0.91,288,206
2019-02-20,28,36,50,50,0.93,309,222
2019-02-21,27,24,50,50,0.9,205,151
2019-02-24,36,9,44,50,0.9893617021276596,237,164
2019-02-25,17,39,50,50,0.88,274,211
2019-02-26,23,26,50,50,0.86,250,186
2019-02-27,31,35,50,50,0.94,268,189
2019-02-28,33,25,50,50,0.94,194,138
2019-03-03,28,23,50,50,0.82,225,153
2019-03-04,22,40,50,50,0.88,217,144
2019-03-05,25,27,48,50,0.8163265306122449,243,183
2019-03-06,18,41,50,50,0.89,230,160
2019-03-07,10,40,50,50,0.71,166,116
2019-03-10,30,22,38,50,1.0227272727272727,210,123
2019-03-11,42,8,50,50,0.76,190,126
2019-03-12,30,24,45,50,0.8315789473684211,185,124
2019-03-13,29,24,47,50,0.8969072164948454,171,108
2019-03-14,25,25,42,50,0.8369565217391305,167,111
2019-03-17,34,17,50,50,0.87,221,155
2019-03-18,37,13,48,50,0.8163265306122449,188,122
2019-03-19,13,37,43,50,0.9354838709677419,236,160
2019-03-20,28,33,50,50,0.91,213,170
2019-03-21,43,31,50,50,0.55,189,136
2019-03-24,10,49,24,50,0.9324324324324325,178,100
2019-03-25,23,9,29,50,1.1645569620253164,221,149
2019-03-26,35,23,49,50,0.9393939393939394,221,162
2019-03-27,29,35,50,50,0.92,213,150
2019-03-28,40,15,50,50,0.94,197,136
2019-03-31,34,9,50,50,0.98,284,219
2019-04-01,33,16,50,50,0.92,215,153
2019-04-02,36,27,50,50,0.88,204,144
2019-04-03,30,32,50,50,0.9,206,138
2019-04-04,35,26,50,50,0.74,159,100
2019-04-07,33,17,50,40,1.011111111111111,194,137
2019-04-08,29,30,50,49,0.8282828282828283,212,146
2019-04-09,26,34,44,50,0.9361702127659575,197,141
2019-04-10,37,25,50,50,0.76,205,147
2019-04-11,30,23,41,50,1.010989010989011,191,143
2019-04-14,29,29,50,50,0.88,193,141
2019-04-15,24,25,50,50,0.92,257,209
2019-04-16,37,29,50,50,0.94,312,228
2019-04-17,20,49,50,50,0.87,233,161
2019-04-21,24,33,50,50,0.89,262,159
2019-04-22,37,26,50,50,0.9,343,258
2019-04-23,42,18,50,50,0.96,378,276
2019-04-24,31,37,50,50,0.94,368,316
2019-04-25,27,33,50,50,0.87,290,260
2019-04-28,36,16,50,50,0.94,217,156
2019-04-29,33,33,50,50,0.96,342,282
2019-04-30,32,35,50,50,0.93,430,304
2019-05-01,30,43,50,50,0.97,389,295
2019-05-02,39,20,50,50,0.87,248,184
2019-05-05,15,37,50,50,0.95,389,322
2019-05-06,39,30,50,50,0.95,432,323
2019-05-07,15,40,50,50,0.95,413,293
2019-05-08,14,42,50,50,0.9,442,362
2019-05-09,34,22,50,50,0.91,248,176
2019-05-12,21,48,50,50,0.88,283,210
2019-05-13,20,34,50,50,0.95,310,233
2019-05-14,34,20,50,50,0.95,307,227
2019-05-15,39,14,50,50,0.88,268,195
2019-05-16,15,33,50,50,0.76,239,164
2019-05-19,19,40,43,50,0.9354838709677419,252,177
2019-05-20,28,29,50,50,0.85,279,210
2019-05-21,36,18,50,50,0.88,256,180
2019-05-22,15,50,45,50,0.9052631578947369,301,263
2019-05-23,29,32,50,50,0.8,138,84
2019-05-27,20,27,37,47,0.8690476190476191,190,105
2019-05-28,20,44,41,50,0.8241758241758241,234,161
2019-05-29,21,26,34,50,1.0357142857142858,239,176
2019-05-30,19,39,49,50,0.7070707070707071,257,197
2019-06-02,16,31,32,50,1.170731707317073,304,210
2019-06-03,40,19,50,50,0.97,377,294
2019-06-04,44,5,50,50,0.97,263,181
2019-06-05,24,48,50,50,0.93,201,132
2019-06-06,33,14,48,50,0.8061224489795918,187,123
2019-06-09,33,8,42,50,1.0217391304347827,219,142
2019-06-10,40,20,50,50,0.76,242,170
2019-06-11,15,33,50,50,0.93,232,176
2019-06-12,28,33,48,50,0.9387755102040817,196,125
2019-06-13,30,25,50,50,0.87,230,164
2019-06-16,21,44,45,50,0.9789473684210527,211,130
2019-06-17,43,10,50,50,0.97,240,163
2019-06-18,44,20,50,50,0.81,199,116
2019-06-19,40,12,50,50,0.85,194,154
2019-06-20,16,29,50,50,0.62,115,69
2019-06-23,25,18,39,30,1.1884057971014492,173,103
2019-06-24,13,27,34,50,1.1904761904761905,228,143
2019-06-25,21,33,50,50,0.84,270,198
2019-06-26,36,26,50,50,0.82,207,143
2019-06-27,42,11,50,50,0.67,175,103
2019-06-30,39,9,46,50,0.9166666666666666,267,173
2019-07-01,18,38,50,50,0.93,249,173
2019-07-02,31,38,50,50,0.58,125,63
2019-07-04,17,10,29,34,0.9047619047619048,103,69
2019-07-07,9,23,12,50,1.2096774193548387,241,159
2019-07-08,14,38,30,50,1.1875,266,197
2019-07-09,33,17,50,50,0.97,266,200
2019-07-10,30,28,50,50,0.91,274,214
2019-07-11,23,31,50,50,0.81,191,146
2019-07-14,34,19,45,50,0.9578947368421052,214,160
2019-07-15,27,39,50,50,0.94,220,125
2019-07-16,20,33,50,50,0.94,270,201
2019-07-17,23,48,50,50,0.95,261,167
2019-07-18,37,19,50,50,0.8,155,109
2019-07-21,24,23,50,41,1.010989010989011,235,151
2019-07-22,39,22,50,50,0.98,407,275
2019-07-23,39,37,50,50,0.9,356,281
2019-07-24,41,25,50,50,0.89,438,319
2019-07-25,27,38,50,50,0.88,320,189
2019-07-28,27,28,50,50,0.92,432,231
2019-07-29,24,44,50,50,0.92,495,338
2019-07-30,40,21,50,50,0.96,577,358
2019-07-31,26,37,50,50,0.97,616,436
2019-08-01,25,43,50,50,0.89,419,309
2019-08-04,17,48,50,50,0.85,619,502
2019-08-05,29,43,50,50,0.98,439,346
2019-08-06,25,42,50,50,0.94,592,472
2019-08-07,39,19,50,50,0.94,476,318
2019-08-08,38,24,50,50,0.97,333,210
2019-08-11,13,41,50,50,0.87,386,279
2019-08-12,19,41,47,50,0.9278350515463918,501,423
2019-08-13,26,31,50,50,0.96,476,410
2019-08-14,21,37,50,50,0.89,336,227
2019-08-15,36,24,50,50,0.94,341,255
2019-08-18,48,8,50,50,0.89,342,210
2019-08-19,23,27,50,50,0.95,243,140
2019-08-20,36,27,50,50,0.94,243,142
2019-08-21,33,22,50,50,0.94,283,162
2019-08-22,22,48,50,50,0.79,366,279
2019-08-25,14,44,38,50,1.0795454545454546,297,186
2019-08-26,35,32,50,50,0.83,292,185
2019-08-27,30,46,50,50,0.92,290,201
2019-08-28,48,3,50,50,0.9,303,211
2019-08-29,38,9,50,50,0.49,153,109
2019-09-02,6,43,28,50,1.0512820512820513,341,250
2019-09-03,35,15,50,50,0.95,400,267
2019-09-04,48,16,50,50,0.79,457,340
2019-09-05,41,26,50,50,0.95,269,164
2019-09-08,30,13,50,50,0.95,353,217
2019-09-09,37,33,50,50,0.85,346,245
2019-09-10,38,27,50,50,0.83,290,217
2019-09-11,45,19,50,50,0.86,331,210
2019-09-12,29,28,50,50,0.81,276,146
2019-09-15,23,27,49,50,0.8787878787878788,336,243
2019-09-16,34,27,50,50,0.96,305,223
2019-09-17,43,35,50,50,0.91,226,167
2019-09-18,25,30,50,50,0.86,218,160
2019-09-19,29,34,50,50,0.92,165,127
2019-09-22,25,38,50,50,0.85,292,194
2019-09-23,40,21,50,50,0.91,312,236
