DATE,LONG CORRECT,SHORT CORRECT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-05-30,18,43,35,50,0.8117647058823529,257,167
2019-06-02,23,40,31,50,1.0493827160493827,304,123
2019-06-03,44,30,50,50,0.93,377,261
2019-06-04,48,13,50,48,0.8367346938775511,263,128
2019-06-05,19,48,34,50,0.8333333333333334,201,74
2019-06-06,17,26,27,47,0.9864864864864865,187,85
2019-06-09,44,8,50,28,1.0128205128205128,219,95
2019-06-10,40,19,50,36,1.0116279069767442,242,110
2019-06-11,19,36,50,50,0.68,232,130
2019-06-12,12,38,20,50,1.0,196,81
2019-06-13,29,13,50,24,1.2837837837837838,230,124
2019-06-16,17,39,49,50,0.797979797979798,211,97
2019-06-17,48,10,50,33,0.963855421686747,240,119
2019-06-18,46,18,50,34,0.7380952380952381,199,71
2019-06-19,15,15,21,50,1.2394366197183098,194,122
2019-06-20,34,31,50,50,0.35,115,44
2019-06-23,21,9,29,15,1.6136363636363635,173,76
2019-06-24,9,29,26,50,1.0921052631578947,228,95
2019-06-25,21,36,37,50,0.9770114942528736,270,151
2019-06-26,40,21,50,39,0.8651685393258427,207,82
2019-06-27,46,10,50,30,0.6625,175,65
2019-06-30,27,6,31,34,1.4923076923076923,267,120
2019-07-01,16,40,50,50,0.85,249,122
2019-07-02,36,42,46,50,0.28125,125,34
2019-07-04,13,5,20,14,1.0588235294117647,103,38
2019-07-07,15,2,19,19,1.894736842105263,241,126
2019-07-08,13,37,24,50,1.0810810810810811,266,145
2019-07-09,25,17,36,50,1.1162790697674418,266,155
2019-07-10,38,30,50,48,0.9693877551020408,274,148
2019-07-11,26,35,50,50,0.63,191,97
2019-07-14,15,18,19,50,1.1594202898550725,214,115
2019-07-15,22,37,40,50,0.9333333333333333,220,91
2019-07-16,21,28,46,45,0.8571428571428571,270,138
2019-07-17,14,44,36,50,0.9534883720930233,261,100
2019-07-18,31,20,39,50,0.8202247191011236,155,90
2019-07-21,25,18,50,32,1.0853658536585367,235,100
2019-07-22,36,20,50,50,0.95,407,193
2019-07-23,40,24,50,50,0.93,356,196
2019-07-24,42,24,50,50,0.98,438,231
2019-07-25,31,37,50,50,0.87,320,154
2019-07-28,28,23,50,50,0.88,432,158
2019-07-29,23,38,50,50,0.87,495,243
2019-07-30,34,20,49,50,0.9696969696969697,577,232
2019-07-31,24,36,50,50,0.96,616,345
2019-08-01,21,43,50,49,0.9393939393939394,419,264
2019-08-04,14,43,50,50,0.92,619,449
2019-08-05,32,39,50,50,0.95,439,259
2019-08-06,29,38,50,50,0.88,592,360
2019-08-07,34,19,40,50,1.0666666666666667,476,273
