DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-01,0,0,0,0,0,0,0,282,155
2019-01-02,27,22,0.18827815851944524,-0.7931348323839988,36,50,0.7906976744186046,220,104
2019-01-03,15,30,-0.9054841687645148,0.8983129596800014,31,50,0.8024691358024691,171,73
2019-01-06,33,3,2.7902853625199993,-3.8349985386157908,35,38,1.3150684931506849,263,101
2019-01-07,41,9,1.9815739440980003,-0.971666949495833,50,48,0.9693877551020408,296,128
2019-01-08,32,25,0.5548498725820012,-0.0727599358620012,50,50,0.9,246,102
2019-01-09,17,29,-0.09484465753877586,0.15994657516199975,49,50,0.6868686868686869,221,93
2019-01-10,18,26,1.4084223417230775,0.14691907883199962,26,50,0.9868421052631579,230,83
2019-01-13,22,21,0.40437783212941086,-0.0066632482489805,34,49,1.072289156626506,266,112
2019-01-14,29,24,-0.05350692748400019,-0.21859004259999976,50,50,0.67,187,80
2019-01-15,21,12,0.8270972467193549,-1.3325221149306123,31,49,0.9,216,85
2019-01-16,16,25,0.3489670280235282,0.3747471547739999,34,50,0.8809523809523809,208,89
2019-01-17,23,16,1.332666500403334,-1.3637712204559997,30,50,0.6875,165,65
2019-01-21,22,16,-0.18045029921470687,-0.2674196920064519,34,31,1.353846153846154,263,122
2019-01-22,20,36,-0.16023557526428572,0.7063504028359996,42,50,0.9130434782608695,261,114
2019-01-23,24,31,0.1920627762585358,0.27255108356199936,41,50,1.043956043956044,294,136
2019-01-24,42,15,1.3844003081299994,-0.2862769651400013,50,50,0.69,178,80
2019-01-27,12,25,-0.9230627935847827,1.0297053281058834,46,34,1.1625,273,150
2019-01-28,40,17,0.5583594894420001,-0.4012500429220003,50,50,0.74,256,98
2019-01-29,16,27,-0.20664056935999983,0.26113116979200157,30,50,1.0375,252,119
2019-01-30,27,27,1.2754603122447363,0.359521131510001,38,50,0.9659090909090909,237,106
2019-01-31,36,23,1.3023281754244889,-0.3593544035551012,49,49,0.673469387755102,195,77
2019-02-03,20,20,-0.0461542755343739,-0.3267006291422223,32,45,0.961038961038961,194,81
2019-02-04,29,15,1.001887180866665,-0.5136482772452388,39,42,0.9629629629629629,247,100
2019-02-05,24,23,0.7449912759944467,0.5831246042260009,36,50,1.0,248,118
2019-02-06,17,31,-0.4065877142333331,0.258117414108,42,50,0.8695652173913043,280,119
2019-02-07,16,34,0.32728969727296975,1.2805991280080005,37,50,0.7701149425287356,158,76
2019-02-10,19,18,2.3316001033720006,-0.8034127664579999,25,50,1.04,232,84
2019-02-11,25,24,1.0076168145399997,0.14431956349591735,35,49,0.8333333333333334,214,91
2019-02-12,13,23,-0.17116665045333296,0.35242796898800094,30,50,1.0625,272,119
2019-02-13,18,35,-0.43246675621363545,0.8159725339360008,44,50,0.7978723404255319,393,145
2019-02-14,28,13,2.182423634966667,-0.9934007501640008,33,50,0.891566265060241,261,91
2019-02-18,21,27,0.13343677297187573,0.6741482114800008,32,50,0.9024390243902439,264,100
2019-02-19,18,22,-0.052686974412500864,-0.0984132957460015,32,50,0.9390243902439024,288,126
2019-02-20,21,38,0.5748486880121211,0.814238941666,33,50,1.036144578313253,309,123
2019-02-21,24,27,0.6354912048139523,0.4336569333612245,43,49,0.717391304347826,205,71
2019-02-24,19,15,2.5440906611409084,-1.4688794223571418,22,49,1.3098591549295775,237,109
2019-02-25,19,35,0.05448150634600078,0.8614858055059998,50,50,0.74,274,137
2019-02-26,19,23,-1.1967557916972194,-0.1668392658160001,36,50,1.0465116279069768,250,116
2019-02-27,31,31,-0.24175869465400063,0.9487996769040005,50,50,0.71,268,104
2019-02-28,21,27,0.8965038776333316,0.45079980850200013,30,50,1.1,194,95
2019-03-03,25,25,0.3062798283790701,-1.217728486064,43,50,0.7634408602150538,225,96
2019-03-04,13,36,-0.6804439144911759,1.2941936659859996,34,50,0.7261904761904762,217,78
2019-03-05,15,31,1.2550003528590905,0.18214889288799946,22,50,1.0416666666666667,243,115
2019-03-06,15,41,-0.1910269764769218,1.674324495792,39,50,0.7078651685393258,230,102
2019-03-07,5,36,-0.5685298092176448,0.9458859097940002,17,50,0.9104477611940298,166,80
2019-03-10,18,25,1.272726877172727,-0.1607997131340004,22,50,0.8055555555555556,210,64
2019-03-11,25,6,0.9139931610571449,0.2858628157896543,35,29,0.96875,190,64
2019-03-12,13,24,1.4136514323095228,4.579988194065114,21,43,0.90625,185,72
2019-03-13,18,20,0.3525534016642861,0.21575701507727368,28,44,0.8055555555555556,171,69
2019-03-14,10,25,0.21500104666874756,-0.3111491954260011,16,50,0.8636363636363636,167,64
2019-03-17,29,15,1.283573041639998,0.16620790958620602,35,29,1.265625,221,87
2019-03-18,29,18,0.983801687089189,0.7086663675420005,37,50,0.632183908045977,188,65
2019-03-19,8,29,-0.26259830475600127,1.3667119652075008,25,40,1.2615384615384615,236,99
2019-03-20,28,32,2.0275609435170727,0.4110007143059992,41,50,0.9340659340659341,213,106
2019-03-21,44,23,1.7995981597859985,-0.32239162922608733,50,46,0.6458333333333334,189,106
2019-03-24,5,50,-1.632055950159999,2.340368990904,15,50,0.7692307692307693,178,51
2019-03-25,13,9,1.5240488903857137,0.1579566876066667,21,30,1.5098039215686274,221,111
2019-03-26,18,23,0.710942463953125,0.032741122234000185,32,50,1.0731707317073171,221,102
2019-03-27,23,35,0.39585201556153965,2.191186189648,39,50,0.8764044943820225,213,101
