RYT,165.5899963379,168.3600006104
VGT,191.0500030518,194.3399963379
MU,42.0800018311,43.8100013733
SQNS,4.4800000191,4.4400000572
XPO,31.3562278748,30.5413265228
SNY,41.2000007629,41.3899993896
GNE,8.7299995422,8.8999996185
LLY,122.7300033569,124.0999984741
RNG,104.8700027466,106.6500015259
GDX,23.1200008392,23.0300006866
A,78.1600036621,78.9000015259
PXD,138.3800048828,141.1900024414
GVA,46.8699989319,46.9700012207
XLK,70.0699996948,71.1699981689
BMY,50.4399986267,51.1500015259
BLL,54.75,55.4700012207
Y,637.0999755859,635.4400024414
AHH,15.5500001907,15.6499996185
UBCP,11.25,11.3699998856
GPI,62.1800003052,63.1399993896
HMY,2.0999999046,2.0299999714
X,24.2600002289,24.25
HLIT,5.5,5.5799999237
DVN,30.1000003815,29.5100002289
AWK,100.8700027466,101.0500030518
WD,57.0,57.9300003052
ETR,91.2600021362,92.6699981689
CPRX,2.8599998951,2.9100000858
ICLR,143.0299987793,144.6999969482
KO,45.7599983215,45.4399986267
SAM,300.6600036621,307.6900024414
EA,97.0599975586,96.3199996948
ATVI,42.0,41.8199996948
VLO,85.1399993896,85.0999984741
MRK,76.1164093018,77.1564865112
DIN,100.0,99.8899993896
PCG,19.8799991608,18.7999992371
BTX,7.0199999809,7.3200001717
RARE,58.3400001526,61.5
CCOI,49.2799987793,50.8499984741
BRC,48.2200012207,48.1699981689
ICPT,91.1500015259,95.4700012207
FIX,51.75,54.8800010681
OLED,129.9499969482,146.8999938965
