DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-01,0,0,0,0,0,0,0,0,0,7,1
2019-01-02,0,0,0,0,41.7799987793,41.1800003052,0,1,0,282,155
2019-01-03,25,27,234.04706777424522,236.61285735857402,344.2614606261895,346.45831580455103,36,50,0.7906976744186046,220,104
2019-01-04,29,3,591.9554333018933,570.7825042151959,172.74283594204823,169.455842792908,31,50,0.8271604938271605,182,75
2019-01-07,34,2,192.19839718282907,188.28132479497205,543.5388538381593,539.6183868642074,37,38,1.28,263,101
2019-01-08,40,21,494.1127753168068,493.34516274249415,139.41661564177832,138.77263657342624,50,48,0.9693877551020408,296,128
2019-01-09,25,28,168.59108989014678,168.3772932167831,108.61644342350888,109.07315667131489,50,50,0.9,246,102
2019-01-10,32,16,103.28639787801103,102.68522122320327,104.69655652295474,103.25960825213679,49,50,0.6868686868686869,221,93
2019-01-11,14,24,143.8519863071517,143.8089058992181,562.8230614781671,571.0847238029378,26,50,1.0,249,84
2019-01-14,19,25,232.82897477448589,230.62483002123057,154.9856031527611,155.16723569444002,34,50,1.0595238095238095,266,112
2019-01-15,34,16,83.74838796779515,82.61556832808766,159.77455272664514,159.35862247129177,50,50,0.67,187,80
2019-01-16,14,23,194.7991263775458,194.47726208293344,377.1559543870231,377.7038508141315,31,49,0.9,216,85
2019-01-17,31,9,188.05359400657318,185.49134771696419,114.00716187724065,111.80077227197246,34,50,0.8690476190476191,208,89
2019-01-18,18,28,171.89298299679274,172.31828317167805,423.45403654225026,428.9632151323304,30,49,0.7341772151898734,186,68
2019-01-22,12,12,131.82369291375485,133.71943942406327,86.94902871443895,86.95883702505462,37,31,1.2794117647058822,263,122
2019-01-23,16,33,98.72739732243407,98.5475541152416,62.795458162626105,62.86404653252541,42,50,0.9130434782608695,261,114
2019-01-24,30,17,336.3735288593548,336.38265867864624,402.6255510484525,399.61615710009926,41,50,1.043956043956044,294,136
2019-01-25,24,32,184.30430182113525,184.3795256054785,111.46822522763588,112.17384911483565,50,50,0.69,194,80
2019-01-28,34,15,128.18527344234292,126.98073535645281,136.25956426783648,136.7331772163883,46,34,1.1625,273,150
2019-01-29,32,23,85.090503865813,84.57208061960876,111.88010019506589,111.34531418857038,50,50,0.74,256,98
2019-01-30,18,15,664.4130949368979,646.527514261358,133.32063267387016,133.38428406063787,30,50,1.0375,252,119
2019-01-31,21,19,155.12801467069139,154.37836151470887,155.5420862359972,153.20225841903726,38,50,0.9659090909090909,237,106
2019-02-01,23,24,355.9604198205752,355.88022250717034,78.9387000976241,78.9633088210176,49,49,0.6836734693877551,224,79
2019-02-04,24,11,202.18468305860563,201.04131554739809,126.90202022847039,126.17468740119422,34,45,0.9367088607594937,194,81
2019-02-05,18,19,178.21278500914698,177.44264085035363,750.1633556948786,743.9165229246314,39,42,0.9629629629629629,247,100
2019-02-06,13,35,449.5532672703186,460.89300217818766,94.65368641068059,95.25568530057961,36,50,1.0,248,118
2019-02-07,14,27,153.94429533355427,155.67527394140382,151.1850171475425,148.79788510574895,42,50,0.8695652173913043,280,119
2019-02-08,20,18,299.5335514941498,300.5738595985619,410.8093522482194,407.6240919210483,37,50,0.7701149425287356,185,83
2019-02-11,18,11,128.25491311312197,126.82604405022118,274.43653562206674,270.46269341651885,26,50,1.0263157894736843,232,84
2019-02-12,22,17,113.64930350965841,113.47852407281817,150.63416150913372,149.73227546659305,35,49,0.8333333333333334,214,91
2019-02-13,10,31,228.67437401134572,228.46271888411525,99.06126579852702,99.03614536257783,30,50,1.0625,272,119
2019-02-14,34,14,146.35556639635286,144.59747657827526,109.1769477192643,107.76717335012681,44,50,0.7978723404255319,393,145
2019-02-15,18,17,188.58870054733137,188.88034449684508,213.4350918265869,213.24753615906545,33,50,0.9156626506024096,279,94
2019-02-19,22,23,131.9037171932095,131.6203314124659,402.76580297579,399.3835418402244,34,50,0.8809523809523809,264,100
2019-02-20,17,20,166.25807970033887,166.31158452336277,92.4205765954198,92.21391645847804,32,50,0.9390243902439024,288,126
2019-02-21,13,22,77.91406440953574,78.40852060621967,117.40817834719806,117.26049003404827,33,50,1.036144578313253,309,123
2019-02-22,25,10,222.55030358903048,221.51728395786571,118.33292583926207,116.8245049168178,43,49,0.7282608695652174,242,72
2019-02-25,5,39,127.69684969899214,127.75697090856818,509.1386216959275,513.605729151795,22,50,1.2916666666666667,237,109
