date,SESTM EW,SESTM VW,SESTM EW + bigram,SESTM VW + bigram,LM EW,LM VW,H4 EW,H4 VW
2019-01-04,-0.5106701412982195,-1.3675299077285505,-0.5377957592717137,-1.3771119334844453,-0.5235795573281281,-1.8653403196992517,0.0823709775531268,-1.0154985586293723
2019-01-07,0.24915869827861792,-1.9313983047140757,0.1832436416230384,-1.7734869255388048,-0.5246566446911248,-2.674734692566,-0.6558525601474617,-0.5991530691787206
2019-01-08,1.434317634025097,-0.4775483453998274,1.2778054367479628,-0.3487159905919102,1.2882763268920596,-2.088608324830699,-0.4554745404447778,0.7666005239207888
2019-01-09,2.5875426493823523,-0.13857146300521248,2.007662556332467,-3.047904860364778,0.8637093665028892,-3.2030908810034306,-0.6937306767087201,0.8318562149772085
2019-01-10,2.357088393386021,-0.630919619309058,2.2319549477538985,-3.5420622548401703,-0.27469455726943737,-3.548218302527961,0.302931719165833,0.5571370729230702
2019-01-11,0.7943346044988576,-0.5120100020872081,0.45334602565365034,-4.347608142802961,-0.20570754963561594,-2.871739329772257,0.3811202860207561,0.21345485019987165
2019-01-14,2.3361440745694755,-0.12272907243711566,1.8103570192084386,-3.868945156792114,-0.2516769418164881,-1.8655237192402419,0.48111727177412666,1.0053531728458422
2019-01-15,2.7692898029031054,-0.3336294027390865,2.107634241748331,-3.6682772521999354,0.8406061509482473,1.4611046529059049,1.6627557268180535,3.147588679695322
2019-01-16,2.828133272537631,-1.0561439539565312,2.254645583433826,-4.688693859063938,1.9351651981028968,0.5950866740411574,1.4395679926742686,2.4904580976147703
2019-01-17,1.6887737584505373,-0.6288156205435786,1.0269132062698951,-4.455649624867372,1.1668156895172361,0.6663854575356024,0.48959464586822327,2.4345394134890443
2019-01-18,1.1394192189780727,-1.946627029860336,0.48812211593278076,-5.701865715140585,-0.17090704549581284,-0.531608381739752,1.3109720952696222,2.5053584549395005
2019-01-22,0.6516247710758235,-2.6542274065482396,-0.09786867004907604,-6.366881337577418,-0.08898924558218414,-1.777531867512558,-0.5263182991829856,1.4116580338607692
2019-01-23,0.390090765287188,-2.208559155903673,-0.1682666626584865,-5.817731901102869,-0.9572592048842304,-2.26170707181,-0.3103659608095034,2.004750424410531
2019-01-24,1.325052720778098,-3.386312810743103,0.6064204877108006,-7.147947620687686,-0.7400520604513312,-4.62430706699206,-0.09974175155411692,-0.14195446080823362
2019-01-25,1.7915115239511983,-3.095545783222042,0.8666102376492146,-7.244288361105563,0.6212388650361323,-3.071787136287906,0.516182318502924,-0.7379525198403349
2019-01-28,2.038004071249148,-2.780111904689035,1.1092950520909142,-6.81143806055054,0.9479817768359498,-4.500424940826839,0.4221244899928459,-2.8828215215254973
2019-01-29,2.2108300523757904,-1.4111768905510238,1.3033483277392222,-6.095833872753935,0.9657039464740733,-5.630847829181033,0.6215244351115923,-3.1468719325689474
2019-01-30,2.195244669245354,-1.0123203837366817,1.323135582133946,-5.73373384320918,1.3850648678973128,-5.63728313570501,0.43683868119724845,-3.196582311683521
2019-01-31,4.22495225164515,-0.01862188753618873,3.6560961005680674,-4.899387612023604,0.877288377966656,-5.599514628693916,0.54670445484922,-1.3445688530596003
2019-02-01,4.96453235728334,-0.019345649332484435,4.259841152026141,-4.8546685470565745,1.6381879354155784,-5.286160666841925,-0.5842793192647133,-1.0567706456811627
2019-02-04,5.029464419600701,-0.46775758519266186,4.3984995322836,-2.0800848029420664,2.229116714951107,-5.3155890621981445,-0.9282799315514105,-1.5732110312945735
2019-02-05,4.646057809999124,0.6366351513371682,3.6992379130618014,-1.0560030936709437,2.184984703165428,-5.2134147050572395,-0.734449225241356,-2.143720558222956
2019-02-06,0.8872093058469227,1.2573860158472148,-0.21285177985246595,-0.4084998473815518,-0.42014257463591187,-3.2977763605888026,-1.2927166895536848,-0.8825283929659705
2019-02-07,1.1857029567665898,0.9121514489187728,-0.916744053748269,-1.0673780319917985,-2.2378562756195493,-5.441349589175067,-2.773308393628264,-3.328705223988129
2019-02-08,1.7830682329089977,-0.5325716216490719,-0.34212658871613405,-2.4249851763625987,-3.316056470819266,-6.421824180985239,-5.090316108841793,-4.03571096404705
2019-02-11,0.03261777736387264,-0.7501502248402404,-2.1647766624400715,-2.6915219629045493,-2.1565962912372267,-4.810461762768539,-4.346258053378605,-3.5586388690429924
2019-02-12,0.44151266574798814,-2.0489077523424637,-2.1436612830215087,-4.134296704470689,-3.4803935921173563,-6.382976122239162,-4.553791766275496,-3.464211834753865
2019-02-13,0.2619538524760259,-2.5286218515325944,-2.00853205249201,-4.569799147306797,-3.5813763452044616,-7.805438491849391,-5.4062834108397215,-4.340520688484726
2019-02-14,-0.041577306939858186,-2.4059282631114454,-0.9761169780204745,-4.111922741101645,-3.6260096160479836,-8.529718597163914,-5.622504431005958,-5.172208676998135
2019-02-15,-0.6158820578128061,-3.361716150796623,-1.0033970989893541,-4.83784441806984,-3.9775721320098234,-8.529207376675112,-7.264939000676994,-5.020817175021067
2019-02-19,-0.806458084356989,-2.828291114873686,-1.000229596914983,-4.136303679344199,-3.901375052425502,-8.764549763249303,-7.190044650249313,-3.778894335399261
2019-02-20,-0.43289391969474533,-3.465309670594442,-0.4952852015440843,-4.878411232197243,-3.917356528322781,-9.330248054250639,-7.981419137490437,-4.930277418455504
2019-02-21,-1.9610474681373744,-3.880801173365437,-1.6933302435026867,-4.6078921462220395,-4.679662617086206,-9.51712726119809,-6.6660668586311065,-5.167117071107015
