day,avg-LS,avg-L,avg-S,avg-LS-no-covid,avg-L-no-covid,avg-S-no-covid
1,6.507783418702782,5.459436836773485,1.0483465819292968,3.053586016922769,7.488201193310176,-4.434615176387407
2,2.5831827536087695,12.619152091161151,-10.03596933755238,-5.409748737562877,6.879985883564293,-12.28973462112717
3,7.5394705988486805,6.562481724015023,0.9769888748336576,3.2176332446171614,7.719956146054789,-4.502322901437628
4,8.019838412423903,8.211823782676973,-0.19198537025307105,-5.037416630501487,4.940814639026405,-9.97823126952789
5,-1.237398555015549,2.532703371991221,-3.77010192700677,-9.693020756139617,1.0086796753441578,-10.701700431483776
6,9.415415777162913,6.700789331379256,2.7146264457836566,3.4738599817778057,5.7843676940618165,-2.3105077122840108
7,-5.2684388868575525,1.24171009553579,-6.510148982393344,-7.1225315000488125,2.6896104089398176,-9.812141908988629
