date,EW-L,EW-S,EW-LS,VW-L,VW-S,VW-LS
2019-01-04,0.4756833285236597,-0.9863534698218792,-0.5106701412982195,-0.4261848262050563,-0.9413450815234944,-1.3675299077285505
2019-01-07,3.843765159617836,-3.5946064613392177,0.24915869827861792,1.486680362341491,-3.418078667055567,-1.9313983047140757
2019-01-08,6.692585070545238,-5.258267436520141,1.434317634025097,4.552480102574079,-5.030028447973907,-0.4775483453998274
2019-01-09,8.15496926518536,-5.567426615803006,2.5875426493823523,5.839718326007582,-5.978289789012795,-0.13857146300521248
2019-01-10,7.661168367873264,-5.304079974487241,2.357088393386021,4.895698329746131,-5.52661794905519,-0.630919619309058
2019-01-11,7.458149733779093,-6.663815129280233,0.7943346044988576,5.356503861097539,-5.868513863184748,-0.5120100020872081
2019-01-14,8.205210185676853,-5.869066111107375,2.3361440745694755,5.376218244211298,-5.498947316648415,-0.12272907243711566
2019-01-15,7.868376178044828,-5.099086375141721,2.7692898029031054,6.052147964800705,-6.385777367539792,-0.3336294027390865
2019-01-16,8.639024539263447,-5.810891266725815,2.828133272537631,7.4090093370142895,-8.465153290970823,-1.0561439539565312
2019-01-17,8.329064399720847,-6.640290641270308,1.6887737584505373,7.401853623050902,-8.030669243594483,-0.6288156205435786
2019-01-18,9.797940671537711,-8.658521452559636,1.1394192189780727,9.21545158015456,-11.162078610014897,-1.946627029860336
2019-01-22,9.552529680387742,-8.900904909311919,0.6516247710758235,7.539536734136479,-10.19376414068472,-2.6542274065482396
2019-01-23,8.237407598883518,-7.847316833596329,0.390090765287188,7.491256240030139,-9.699815395933813,-2.208559155903673
2019-01-24,8.167494043743101,-6.842441322965001,1.325052720778098,7.22146550949571,-10.607778320238813,-3.386312810743103
2019-01-25,9.494195252287172,-7.7026837283359715,1.7915115239511983,7.97698231658395,-11.072528099805993,-3.095545783222042
2019-01-28,9.920563034646705,-7.882558963397555,2.038004071249148,7.850454044958015,-10.63056594964705,-2.780111904689035
2019-01-29,10.759082259375178,-8.548252206999386,2.2108300523757904,8.975759137075983,-10.386936027627005,-1.4111768905510238
2019-01-30,10.764044082307409,-8.568799413062052,2.195244669245354,8.816870101026515,-9.829190484763197,-1.0123203837366817
2019-01-31,12.877976236990632,-8.65302398534548,4.22495225164515,11.017698223203375,-11.036320110739565,-0.01862188753618873
2019-02-01,14.382101927781981,-9.417569570498639,4.96453235728334,12.110442784874364,-12.129788434206848,-0.019345649332484435
2019-02-04,14.564776861729944,-9.53531244212924,5.029464419600701,12.196170170709419,-12.663927755902083,-0.46775758519266186
2019-02-05,15.214462638112147,-10.568404828113021,4.646057809999124,13.640562727262465,-13.003927575925298,0.6366351513371682
2019-02-06,14.946411398068715,-14.05920209222179,0.8872093058469227,13.397029011378297,-12.139642995531084,1.2573860158472148
2019-02-07,14.205798812019468,-13.020095855252874,1.1857029567665898,12.836007609288194,-11.923856160369423,0.9121514489187728
2019-02-08,13.381733766535064,-11.598665533626063,1.7830682329089977,10.187252605904538,-10.719824227553612,-0.5325716216490719
2019-02-11,13.376079371352029,-13.34346159398815,0.03261777736387264,10.673661550413408,-11.42381177525365,-0.7501502248402404
2019-02-12,14.884254294129084,-14.442741628381093,0.44151266574798814,10.455891439170252,-12.504799191512717,-2.0489077523424637
2019-02-13,15.66856385711418,-15.406610004638146,0.2619538524760259,10.566434735314786,-13.095056586847384,-2.5286218515325944
2019-02-14,14.919249195463182,-14.960826502403032,-0.041577306939858186,10.044896361688842,-12.45082462480029,-2.4059282631114454
2019-02-15,15.085487509365025,-15.701369567177823,-0.6158820578128061,10.846317901901575,-14.208034052698201,-3.361716150796623
2019-02-19,15.334803262614361,-16.14126134697134,-0.806458084356989,10.798306379109867,-13.626597493983558,-2.828291114873686
2019-02-20,16.656421984465204,-17.08931590415994,-0.43289391969474533,11.197713846091407,-14.663023516685852,-3.465309670594442
2019-02-21,15.870734782740033,-17.8317822508774,-1.9610474681373744,10.9938305934895,-14.874631766854943,-3.880801173365437
2019-02-22,16.022242388497578,-18.04861075225358,-2.026368363756015,11.290164654768533,-15.08492600356093,-3.7947613487923917
2019-02-25,16.913982331797463,-19.960550590885344,-3.0465682590878913,11.860157645059244,-16.0143193185167,-4.154161673457452
2019-02-26,16.075956998798574,-18.73460077771803,-2.658643778919462,10.197854439336808,-15.468362095231713,-5.270507655894899
2019-02-27,15.26838373367233,-17.355722678408938,-2.087338944736616,9.776769047717494,-16.02502276271972,-6.2482537150022175
2019-02-28,15.57798149638265,-17.88301083056934,-2.305029334186698,10.648784820591835,-15.884423971445486,-5.235639150853646
2019-03-01,15.652887602440885,-17.985377331895812,-2.3324897294549345,10.939139303273823,-16.36650756755901,-5.4273682642851835
2019-03-04,19.15474988466056,-17.239164531344287,1.9155853533162663,11.039505425485547,-16.596031928218366,-5.556526502732813
2019-03-05,18.94083199838382,-15.533099985627686,3.4077320127561324,10.229857522845338,-16.268523716593236,-6.0386661937478925
2019-03-06,18.99370415617481,-15.385267096455571,3.6084370597192357,10.309132532005131,-16.651776181694437,-6.3426436496893
2019-03-07,17.22394547898083,-13.469966739186518,3.753978739794307,9.321800152270798,-15.58983930399545,-6.26803915172465
