date,no. sentiment words,alpha plus,alpha_minus,kappa,lambda,normalised error
2010-1-1,25,0.10471943605542673,0.12027182754880694,92,5,20382.25521892117
2010-5-1,100,0.06126220726959875,0.07164563223054768,90,10,20744.276612924397
2010-9-1,25,0.0888417043270461,0.09813909198917883,94,5,20411.210153371274
2011-1-1,100,0.05268131697102325,0.05572062371935151,92,5,19962.65055476251
2011-5-1,25,0.08707314450813662,0.0850481876591102,94,5,19146.114517944574
2011-9-1,100,0.056960567422342887,0.05281798070071794,92,5,19280.535786860506
2012-1-1,25,0.1152408277277696,0.13828899327332353,90,10,20643.491814341727
2012-5-1,100,0.07592540314737006,0.07592540314737006,88,10,21802.27352852517
2012-9-1,100,0.043104977834510116,0.032591568606580815,94,10,22294.66372828476
2013-1-1,25,0.14805770617487976,0.15435803409721502,86,10,21796.859346987763
2013-5-1,100,0.08923126757117841,0.09441913196485158,86,5,22230.3783309444
2013-9-1,100,0.0709012143885924,0.0811767527057797,88,5,23227.13607054995
2014-1-1,50,0.11033679691452812,0.12045943883329215,86,5,24822.93779947039
2014-5-1,25,0.08332888771043202,0.10039625025353256,94,5,24263.753535894557
2014-9-1,100,0.08637816906690667,0.09742653952895289,86,5,23414.92228624249
2015-1-1,100,0.08578083941532741,0.09376045238419509,86,5,22767.43718182511
2015-5-1,100,0.04911112291975394,0.059133801066642504,92,5,23534.62973349171
2015-9-1,25,0.10458992452440033,0.1307374056555004,90,5,26383.997945646996
2016-1-1,100,0.04377360177464174,0.03970163881886111,94,5,31046.762610636968
