,,,,,0.044%,-0.0069%,,,,,,,,0.09%,0.10%,,,,,,,,,,
DATE,long value,EARNING LONG,short value,EARNING SHORT,profit long,,,,DATE,long value,EARNING LONG,short value,EARNING SHORT,,,,,0,0,0,0,0,0,282,155
29 08 2019,1,1.017292902,1,1.032155616,1.73%,-0.031153845,,,29 08 2019,1,1.009443337,1,1.023080337,0.94%,-2.26%,,,,,,,,,,
30 08 2019,1,1.009365119,1,1.014397022,0.94%,-0.014192689,,,30 08 2019,1,1.011026815,1,1.005412969,1.10%,-0.54%,,,,,,,,,,
03 09 2019,1,0.986100712,1,0.97761997,-1.39%,0.022892361,,,03 09 2019,1,0.978870581,1,0.989400596,-2.11%,1.07%,,,,,,,,,,
04 09 2019,1,1.009873906,1,1.015563664,0.99%,-0.015325149,,,04 09 2019,1,1.010962385,1,1.010381783,1.10%,-1.03%,,,,,,,,,,
05 09 2019,1,1.012124196,1,1.015644451,1.21%,-0.015403472,,,05 09 2019,1,1.006208587,1,1.003471219,0.62%,-0.35%,,,,,,,,,,
06 09 2019,1,1.010841634,1,0.99323684,1.08%,0.006809212,,,06 09 2019,1,1.013853617,1,0.994231944,1.39%,0.58%,,,,,,,,,,
09 09 2019,1,1.004365793,1,1.007297973,0.44%,-0.007245099,,,09 09 2019,1,1.008900442,1,0.993462289,0.89%,0.66%,,,,,,,,,,
10 09 2019,1,0.993159286,1,1.018902748,-0.68%,-0.018552063,,,10 09 2019,1,0.992903061,1,1.019405936,-0.71%,-1.90%,,,,,,,,,,
11 09 2019,1,0.994608064,1,0.99038819,-0.54%,0.009705093,,,11 09 2019,1,0.995477055,1,0.992620712,-0.45%,0.74%,,,,,,,,,,
12 09 2019,1,1.009349474,1,1.002447757,0.93%,-0.00244178,,,12 09 2019,1,1.010269341,1,0.998477257,1.03%,0.15%,,,,,,,,,,
13 09 2019,1,0.999052204,1,1.003571286,-0.09%,-0.003558577,,,13 09 2019,1,0.995359536,1,1.002045273,-0.46%,-0.20%,,,,,,,,,,
16 09 2019,1,0.991860567,1,1.018089064,-0.81%,-0.017767664,,,16 09 2019,1,0.989109322,1,1.018401168,-1.09%,-1.81%,,,,,,,,,,
17 09 2019,1,0.996448372,1,1.001135195,-0.36%,-0.001133907,,,17 09 2019,1,1.003476617,1,0.99644383,0.35%,0.36%,,,,,,,,,,
18 09 2019,1,1.003739209,1,0.975633315,0.37%,0.024975249,,,18 09 2019,1,0.981115696,1,1.001202058,-1.89%,-0.12%,,,,,,,,,,
19 09 2019,1,1.002520776,1,1.00235361,0.25%,-0.002348084,,,19 09 2019,1,0.99892443,1,1.002106992,-0.11%,-0.21%,,,,,,,,,,
20 09 2019,1,1.000115115,1,0.9907139,0.01%,0.00937314,,,20 09 2019,1,0.999539145,1,0.991510703,-0.05%,0.86%,,,,,,,,,,
23 09 2019,1,0.992975081,1,0.990541735,-0.70%,0.009548578,,,23 09 2019,1,0.994548422,1,0.989306565,-0.55%,1.08%,,,,,,,,,,
24 09 2019,1,1.004026704,1,0.998899036,0.40%,0.001102178,,,24 09 2019,1,1.002483257,1,1.001042643,0.25%,-0.10%,,,,,,,,,,
25 09 2019,1,0.981530516,1,0.985069383,-1.85%,0.01515692,,,25 09 2019,1,0.983864031,1,0.978491133,-1.61%,2.20%,,,,,,,,,,
26 09 2019,1,1.004928741,1,1.005624588,0.49%,-0.005593129,,,26 09 2019,1,1.008604648,1,1.002971129,0.86%,-0.30%,,,,,,,,,,
27 09 2019,1,1.001849328,1,0.991466937,0.18%,0.008606503,,,27 09 2019,1,0.999570558,1,0.996316754,-0.04%,0.37%,,,,,,,,,,
30 09 2019,1,0.988710541,1,0.992932634,-1.13%,0.007117669,,,30 09 2019,1,0.987479034,1,0.992974867,-1.25%,0.71%,,,,,,,,,,
01 10 2019,1,1.017401118,1,1.007561653,1.74%,-0.007504904,,,01 10 2019,1,1.019490195,1,1.007280003,1.95%,-0.72%,,,,,,,,,,
02 10 2019,1,0.984879365,1,0.974144373,-1.51%,0.026541884,,,02 10 2019,1,0.987687549,1,0.969962002,-1.23%,3.10%,,,,,,,,,,
03 10 2019,1,0.990211059,1,0.988173795,-0.98%,0.011967738,,,03 10 2019,1,0.993679305,1,0.986014219,-0.63%,1.42%,,,,,,,,,,
04 10 2019,1,1.013449679,1,1.008368297,1.34%,-0.00829885,,,04 10 2019,1,1.007760955,1,1.010747506,0.78%,-1.06%,,,,,,,,,,
07 10 2019,1,1.008316802,1,1.000018373,0.83%,-1.83724E-05,,,07 10 2019,1,1.007418717,1,1.00630686,0.74%,-0.63%,,,,,,,,,,
08 10 2019,1,0.980767836,1,0.988761742,-1.92%,0.011365992,,,08 10 2019,1,0.991201754,1,0.98744577,-0.88%,1.27%,,,,,,,,,,
09 10 2019,1,0.996761046,1,1.001456953,-0.32%,-0.001454834,,,09 10 2019,1,0.991539886,1,1.009571592,-0.85%,-0.95%,,,,,,,,,,
10 10 2019,1,0.999968447,1,0.998916399,0.00%,0.001084777,,,10 10 2019,1,0.998318311,1,1.002737867,-0.17%,-0.27%,,,,,,,,,,
11 10 2019,1,1.012332229,1,1.0206262,1.23%,-0.020209358,,,11 10 2019,1,1.020247972,1,1.024900339,2.02%,-2.43%,,,,,,,,,,
14 10 2019,1,0.993877879,1,0.99901037,-0.61%,0.00099061,,,14 10 2019,1,0.994223488,1,0.998283949,-0.58%,0.17%,,,,,,,,,,
15 10 2019,1,1.001533434,1,1.006452988,0.15%,-0.006411614,,,15 10 2019,1,1.002311911,1,1.002716166,0.23%,-0.27%,,,,,,,,,,
16 10 2019,1,1.003263219,1,1.003215078,0.33%,-0.003204774,,,16 10 2019,1,1.001610432,1,1.002812425,0.16%,-0.28%,,,,,,,,,,
17 10 2019,1,1.003526123,1,1.005098263,0.35%,-0.005072403,,,17 10 2019,1,1.002170082,1,1.002267284,0.22%,-0.23%,,,,,,,,,,
18 10 2019,1,1.001745111,1,0.998010683,0.17%,0.001993282,,,18 10 2019,1,0.997499309,1,0.996597125,-0.25%,0.34%,,,,,,,,,,
21 10 2019,1,1.002349268,1,1.000182308,0.23%,-0.000182275,,,21 10 2019,1,1.004562091,1,1.002343605,0.46%,-0.23%,,,,,,,,,,
22 10 2019,1,1.000462742,1,1.001711403,0.05%,-0.001708479,,,22 10 2019,1,1.000797201,1,0.99848234,0.08%,0.15%,,,,,,,,,,
23 10 2019,1,0.989476462,1,1.003772969,-1.05%,-0.003758787,,,23 10 2019,1,0.980102076,1,1.000086455,-1.99%,-0.01%,,,,,,,,,,
24 10 2019,1,1.009465451,1,1.015863161,0.95%,-0.01561545,,,24 10 2019,1,0.997827453,1,1.010379279,-0.22%,-1.03%,,,,,,,,,,
25 10 2019,1,1.003196209,1,1.009323013,0.32%,-0.009236897,,,25 10 2019,1,1.004858186,1,0.998288423,0.49%,0.17%,,,,,,,,,,
28 10 2019,1,1.010228564,1,1.005245312,1.02%,-0.005217942,,,28 10 2019,1,1.013920503,1,1.008769876,1.39%,-0.87%,,,,,,,,,,
29 10 2019,1,0.999199049,1,1.00369312,-0.08%,-0.003679531,,,29 10 2019,1,0.987348027,1,1.001344773,-1.27%,-0.13%,,,,,,,,,,
30 10 2019,1,1.002303344,1,1.007157538,0.23%,-0.007106672,,,30 10 2019,1,0.99952165,1,1.011688883,-0.05%,-1.16%,,,,,,,,,,
31 10 2019,1,1.001716967,1,0.996418673,0.17%,0.003594199,,,31 10 2019,1,1.000815388,1,0.999701735,0.08%,0.03%,,,,,,,,,,
01 11 2019,1,1.001452855,1,1.000513568,0.15%,-0.000513304,,,01 11 2019,1,0.997736302,1,0.999930311,-0.23%,0.01%,,,,,,,,,,
04 11 2019,1,1.009256304,1,1.018691265,0.93%,-0.018348312,,,04 11 2019,1,1.013146699,1,1.016384414,1.31%,-1.61%,,,,,,,,,,
05 11 2019,1,1.002223329,1,0.997949335,0.22%,0.002054878,,,05 11 2019,1,1.003046436,1,0.994070212,0.30%,0.60%,,,,,,,,,,
06 11 2019,1,0.987825275,1,1.002276509,-1.22%,-0.002271338,,,06 11 2019,1,0.994689092,1,1.003276264,-0.53%,-0.33%,,,,,,,,,,
07 11 2019,1,1.00739614,1,1.003864458,0.74%,-0.003849582,,,07 11 2019,1,1.003111504,1,1.008075441,0.31%,-0.80%,,,,,,,,,,
08 11 2019,1,0.99163205,1,0.991439815,-0.84%,0.008634095,,,08 11 2019,1,0.989880519,1,0.989027487,-1.01%,1.11%,,,,,,,,,,
11 11 2019,1,1.001389287,1,1.009907461,0.14%,-0.009810266,,,11 11 2019,1,1.001801797,1,0.998390161,0.18%,0.16%,,,,,,,,,,
12 11 2019,1,1.000106414,1,1.001575627,0.01%,-0.001573149,,,12 11 2019,1,1.005171002,1,1.002034814,0.52%,-0.20%,,,,,,,,,,
13 11 2019,1,0.994865479,1,0.995092421,-0.51%,0.004931782,,,13 11 2019,1,0.992894541,1,0.994509566,-0.71%,0.55%,,,,,,,,,,
14 11 2019,1,1.000609326,1,0.998038623,0.06%,0.001965231,,,14 11 2019,1,1.001366647,1,1.001403574,0.14%,-0.14%,,,,,,,,,,
15 11 2019,1,1.014399393,1,0.995925252,1.44%,0.00409142,,,15 11 2019,1,1.004676113,1,0.994907224,0.47%,0.51%,,,,,,,,,,
18 11 2019,1,1.000667108,1,0.998275057,0.07%,0.001727923,,,18 11 2019,1,1.001296572,1,0.997195204,0.13%,0.28%,,,,,,,,,,
19 11 2019,1,0.998275149,1,0.993229955,-0.17%,0.006816191,,,19 11 2019,1,0.999182146,1,0.997478787,-0.08%,0.25%,,,,,,,,,,
20 11 2019,1,0.996357554,1,0.992030454,-0.36%,0.00803357,,,20 11 2019,1,0.997240572,1,0.992307834,-0.28%,0.78%,,,,,,,,,,
21 11 2019,1,0.997888397,1,0.997316413,-0.21%,0.002690808,,,21 11 2019,1,0.99786676,1,1.000696781,-0.21%,-0.07%,,,,,,,,,,
22 11 2019,1,1.002711382,1,0.996533983,0.27%,0.003478072,,,22 11 2019,1,1.001927148,1,1.001588371,0.19%,-0.16%,,,,,,,,,,
25 11 2019,1,1.006459033,1,1.008632176,0.65%,-0.008558299,,,25 11 2019,1,1.014572032,1,1.003176182,1.46%,-0.32%,,,,,,,,,,
26 11 2019,1,1.005221242,1,1.007328499,0.52%,-0.007275183,,,26 11 2019,1,1.008456799,1,1.006648557,0.85%,-0.66%,,,,,,,,,,
27 11 2019,1,1.002915341,1,1.003016672,0.29%,-0.003007599,,,27 11 2019,1,1.0026506,1,0.998985275,0.27%,0.10%,,,,,,,,,,
29 11 2019,1,1.002842068,1,0.998115691,0.28%,0.001887867,,,29 11 2019,1,0.996962583,1,1.001881724,-0.30%,-0.19%,,,,,,,,,,
02 12 2019,1,0.997764982,1,0.990971175,-0.22%,0.009111088,,,02 12 2019,1,0.997976068,1,0.996868051,-0.20%,0.31%,,,,,,,,,,
03 12 2019,1,0.977903052,1,0.985792501,-2.21%,0.014412261,,,03 12 2019,1,0.982845843,1,0.979408786,-1.72%,2.10%,,,,,,,,,,
04 12 2019,1,0.996044251,1,1.014306916,-0.40%,-0.014105116,,,04 12 2019,1,0.994615472,1,1.013751289,-0.54%,-1.36%,,,,,,,,,,
05 12 2019,1,1.012519529,1,1.008769703,1.25%,-0.008693463,,,05 12 2019,1,1.000852746,1,1.005435023,0.09%,-0.54%,,,,,,,,,,
06 12 2019,1,1.018455995,1,1.006576788,1.85%,-0.006533816,,,06 12 2019,1,1.016178938,1,0.999283618,1.62%,0.07%,,,,,,,,,,
09 12 2019,1,1.004909759,1,1.000255886,0.49%,-0.00025582,,,09 12 2019,1,1.001358139,1,1.001983339,0.14%,-0.20%,,,,,,,,,,
10 12 2019,1,0.992986061,1,1.021515362,-0.70%,-0.021062201,,,10 12 2019,1,0.997372685,1,1.005193661,-0.26%,-0.52%,,,,,,,,,,
11 12 2019,1,1.001138326,1,0.997977504,0.11%,0.002026595,,,11 12 2019,1,1.000584928,1,1.000626381,0.06%,-0.06%,,,,,,,,,,
12 12 2019,1,1.002044794,1,0.998593131,0.20%,0.001408851,,,12 12 2019,1,1.006282246,1,1.002837667,0.63%,-0.28%,,,,,,,,,,
13 12 2019,1,1.012141828,1,1.002190321,1.21%,-0.002185534,,,13 12 2019,1,1.011229414,1,0.998112639,1.12%,0.19%,,,,,,,,,,
16 12 2019,1,1.001474213,1,0.997525398,0.15%,0.002480741,,,16 12 2019,1,0.997502261,1,1.000612662,-0.25%,-0.06%,,,,,,,,,,
17 12 2019,1,1.004542223,1,1.006686922,0.45%,-0.006642504,,,17 12 2019,1,1.005532954,1,1.007431748,0.55%,-0.74%,,,,,,,,,,
18 12 2019,1,0.999164776,1,0.996243248,-0.08%,0.003770918,,,18 12 2019,1,1.002012227,1,0.998364646,0.20%,0.16%,,,,,,,,,,
19 12 2019,1,1.005165805,1,0.996108215,0.52%,0.00390699,,,19 12 2019,1,1.00060212,1,0.996776368,0.06%,0.32%,,,,,,,,,,
20 12 2019,1,1.009567594,1,1.009507834,0.96%,-0.009418286,,,20 12 2019,1,1.010619605,1,1.011405642,1.06%,-1.13%,,,,,,,,,,
23 12 2019,1,0.999502975,1,1.006850129,-0.05%,-0.006803524,,,23 12 2019,1,1.001052653,1,1.006120646,0.11%,-0.61%,,,,,,,,,,
24 12 2019,1,1.001663871,1,0.997595848,0.17%,0.002409946,,,24 12 2019,1,1.002363252,1,1.001301789,0.24%,-0.13%,,,,,,,,,,
26 12 2019,1,1.000262795,1,0.999826044,0.03%,0.000173986,,,26 12 2019,1,1.003121126,1,0.999792283,0.31%,0.02%,,,,,,,,,,
27 12 2019,1,0.999057317,1,1.005726459,-0.09%,-0.005693854,,,27 12 2019,1,1.001767894,1,1.006260577,0.18%,-0.62%,,,,,,,,,,
30 12 2019,1,0.994871332,1,0.997851562,-0.51%,0.002153064,,,30 12 2019,1,0.99075964,1,0.99181596,-0.92%,0.83%,,,,,,,,,,
31 12 2019,1,0.986776076,1,0.993118493,-1.32%,0.00692919,,,31 12 2019,1,0.984956056,1,0.984710357,-1.50%,1.55%,,,,,,,,,,
02 01 2020,1,1.007380708,1,1.009794055,0.74%,-0.009699062,,,02 01 2020,1,1.012105223,1,1.013935935,1.21%,-1.37%,,,,,,,,,,
03 01 2020,1,0.977250647,1,1.000236562,-2.27%,-0.000236506,,,03 01 2020,1,0.992300166,1,1.017096033,-0.77%,-1.68%,,,,,,,,,,
06 01 2020,1,0.998717273,1,1.00136175,-0.13%,-0.001359898,,,06 01 2020,1,0.99960606,1,1.002138951,-0.04%,-0.21%,,,,,,,,,,
07 01 2020,1,1.002622954,1,1.007791516,0.26%,-0.007731277,,,07 01 2020,1,1.008339272,1,1.004815333,0.83%,-0.48%,,,,,,,,,,
08 01 2020,1,0.99851822,1,0.999102351,-0.15%,0.000898455,,,08 01 2020,1,0.997771724,1,0.995712973,-0.22%,0.43%,,,,,,,,,,
09 01 2020,1,1.007615036,1,0.993640357,0.76%,0.006400347,,,09 01 2020,1,1.008380461,1,0.996819182,0.84%,0.32%,,,,,,,,,,
10 01 2020,1,1.002236392,1,1.000997865,0.22%,-0.000996871,,,10 01 2020,1,1.000840632,1,0.999848543,0.08%,0.02%,,,,,,,,,,
13 01 2020,1,0.990839122,1,0.99372333,-0.92%,0.006316315,,,13 01 2020,1,0.992495362,1,0.977611585,-0.75%,2.29%,,,,,,,,,,
14 01 2020,1,1.008645714,1,0.997054861,0.86%,0.002953838,,,14 01 2020,1,1.004199984,1,1.005382298,0.42%,-0.54%,,,,,,,,,,
15 01 2020,1,0.996156384,1,1.006425313,-0.38%,-0.006384292,,,15 01 2020,1,0.998434553,1,1.004397956,-0.16%,-0.44%,,,,,,,,,,
16 01 2020,1,1.006121095,1,1.013929541,0.61%,-0.013738174,,,16 01 2020,1,1.007041905,1,1.008255352,0.70%,-0.82%,,,,,,,,,,
17 01 2020,1,1.009479261,1,1.007040079,0.95%,-0.006990863,,,17 01 2020,1,1.011650059,1,1.004714531,1.17%,-0.47%,,,,,,,,,,
21 01 2020,1,0.99468714,1,0.990679866,-0.53%,0.009407816,,,21 01 2020,1,0.993672218,1,0.993326733,-0.63%,0.67%,,,,,,,,,,
22 01 2020,1,1.002362651,1,0.995544084,0.24%,0.00447586,,,22 01 2020,1,0.997808043,1,0.99776573,-0.22%,0.22%,,,,,,,,,,
23 01 2020,1,0.993677115,1,0.986318924,-0.63%,0.013870844,,,23 01 2020,1,0.990824756,1,0.986807659,-0.92%,1.34%,,,,,,,,,,
24 01 2020,1,1.007935761,1,1.002230774,0.79%,-0.002225809,,,24 01 2020,1,1.008640129,1,1.003891715,0.86%,-0.39%,,,,,,,,,,
27 01 2020,1,0.970690036,1,0.964553548,-2.93%,0.036749077,,,27 01 2020,1,0.969467601,1,0.964463807,-3.05%,3.68%,,,,,,,,,,
28 01 2020,1,1.008441341,1,1.001371871,0.84%,-0.001369992,,,28 01 2020,1,1.007147344,1,1.007636946,0.71%,-0.76%,,,,,,,,,,
29 01 2020,1,1.007172008,1,1.003012597,0.72%,-0.003003548,,,29 01 2020,1,1.006349273,1,1.006152571,0.63%,-0.61%,,,,,,,,,,
30 01 2020,1,0.984758841,1,0.975986043,-1.52%,0.024604816,,,30 01 2020,1,0.97981238,1,0.990129936,-2.02%,1.00%,,,,,,,,,,
31 01 2020,1,1.00182669,1,1.000861159,0.18%,-0.000860418,,,31 01 2020,1,1.001470031,1,1.003245369,0.15%,-0.32%,,,,,,,,,,
03 02 2020,1,0.984438281,1,0.983240663,-1.56%,0.017045,,,03 02 2020,1,0.984289023,1,0.990931921,-1.57%,0.92%,,,,,,,,,,
04 02 2020,1,1.015294064,1,1.020155492,1.53%,-0.019757274,,,04 02 2020,1,1.013236579,1,1.019892289,1.32%,-1.95%,,,,,,,,,,
05 02 2020,1,1.012098552,1,1.020227616,1.21%,-0.019826571,,,05 02 2020,1,1.010348697,1,1.007377356,1.03%,-0.73%,,,,,,,,,,
06 02 2020,1,0.995440788,1,1.011922581,-0.46%,-0.011782108,,,06 02 2020,1,1.024615006,1,1.007794615,2.46%,-0.77%,,,,,,,,,,
07 02 2020,1,0.993280286,1,0.994880356,-0.67%,0.005145989,,,07 02 2020,1,0.983178883,1,0.992020322,-1.68%,0.80%,,,,,,,,,,
10 02 2020,1,0.996524824,1,0.997898262,-0.35%,0.002106164,,,10 02 2020,1,0.99794343,1,0.984684045,-0.21%,1.56%,,,,,,,,,,
11 02 2020,1,1.018730624,1,1.015467485,1.87%,-0.015231886,,,11 02 2020,1,1.017874989,1,1.013513592,1.79%,-1.33%,,,,,,,,,,
12 02 2020,1,1.003048193,1,1.015213382,0.30%,-0.014985404,,,12 02 2020,1,1.000941738,1,1.005873984,0.09%,-0.58%,,,,,,,,,,
13 02 2020,1,1.002587315,1,0.995505601,0.26%,0.00451469,,,13 02 2020,1,1.00414251,1,0.995551454,0.41%,0.45%,,,,,,,,,,
14 02 2020,1,1.014140982,1,1.001855029,1.41%,-0.001851594,,,14 02 2020,1,1.01106632,1,1.004714259,1.11%,-0.47%,,,,,,,,,,
18 02 2020,1,1.003030894,0.998786847,0.999955176,0.30%,-0.001168382,,,18 02 2020,1,1.001738832,0.998721929,0.999880171,0.17%,-0.12%,,,,,,,,,,
19 02 2020,1,1.009148681,1,0.998841351,0.91%,0.001159993,,,19 02 2020,1,1.010439245,1,1.002340613,1.04%,-0.23%,,,,,,,,,,
20 02 2020,1,0.999719688,1,1.006514355,-0.03%,-0.006472192,,,20 02 2020,1,0.998633692,1,1.001028649,-0.14%,-0.10%,,,,,,,,,,
21 02 2020,1,0.990433206,1,1.008533283,-0.96%,-0.008461083,,,21 02 2020,1,0.993433162,1,1.002816864,-0.66%,-0.28%,,,,,,,,,,
24 02 2020,1,0.97026955,1,0.957100237,-2.97%,0.044822643,,,24 02 2020,1,0.972321544,1,0.951982568,-2.77%,5.04%,,,,,,,,,,
25 02 2020,1,1.005737558,1,0.997256928,0.57%,0.002750617,,,25 02 2020,1,1.001629794,1,1.004361228,0.16%,-0.43%,,,,,,,,,,
26 02 2020,1,0.97644672,1,0.96080348,-2.36%,0.040795565,,,26 02 2020,1,0.973318923,1,0.963660045,-2.67%,3.77%,,,,,,,,,,
27 02 2020,1,0.981809977,1,0.962085272,-1.82%,0.039408906,,,27 02 2020,1,0.981387804,1,0.959863554,-1.86%,4.18%,,,,,,,,,,
28 02 2020,1,0.950427521,1,0.956082092,-4.96%,0.04593529,,,28 02 2020,1,0.955708456,1,0.946002821,-4.43%,5.71%,,,,,,,,,,
02 03 2020,1,1.008639976,1,1.023089635,0.86%,-0.022568536,,,02 03 2020,1,1.00078129,1,1.042718705,0.08%,-4.10%,,,,,,,,,,
03 03 2020,1,1.027777047,1,1.028306925,2.78%,-0.027527701,,,03 03 2020,1,1.021397947,1,1.034206076,2.14%,-3.31%,,,,,,,,,,
04 03 2020,1,0.992837843,1,0.978589821,-0.72%,0.021878604,,,04 03 2020,1,1.00744968,1,0.983752839,0.74%,1.65%,,,,,,,,,,
05 03 2020,1,0.999202658,1,0.984877897,-0.08%,0.015354292,,,05 03 2020,1,0.996070529,1,0.987329003,-0.39%,1.28%,,,,,,,,,,
06 03 2020,1,0.961113234,1,0.940798448,-3.89%,0.062926923,,,06 03 2020,1,0.962700515,1,0.957452362,-3.73%,4.44%,,,,,,,,,,
09 03 2020,1,0.929057927,1,0.925251963,-7.09%,0.080786683,,,09 03 2020,1,0.929470684,1,0.93199336,-7.05%,7.30%,,,,,,,,,,
10 03 2020,1,1.023939312,1,0.99984564,2.39%,0.000154384,,,10 03 2020,1,1.02270166,1,1.020698539,2.27%,-2.03%,,,,,,,,,,
11 03 2020,1,0.989866674,1,0.985001847,-1.01%,0.015226523,,,11 03 2020,1,0.982287998,1,0.983484927,-1.77%,1.68%,,,,,,,,,,
12 03 2020,1,0.893202071,1,0.908956762,-10.68%,0.100162342,,,12 03 2020,1,0.898630587,1,0.886522837,-10.14%,12.80%,,,,,,,,,,
13 03 2020,1,1.026791539,1,0.978995693,2.68%,0.021454954,,,13 03 2020,1,1.032660728,1,1.026260161,3.27%,-2.56%,,,,,,,,,,
16 03 2020,1,0.915144432,1,0.905144958,-8.49%,0.104795416,,,16 03 2020,1,0.933180404,1,0.885525398,-6.68%,12.93%,,,,,,,,,,
17 03 2020,1,1.015103783,1,0.992107929,1.51%,0.007954851,,,17 03 2020,1,1.002428301,1,1.018864913,0.24%,-1.85%,,,,,,,,,,
18 03 2020,1,0.982711154,1,0.941551021,-1.73%,0.062077336,,,18 03 2020,1,1.027367959,1,0.970535963,2.74%,3.04%,,,,,,,,,,
19 03 2020,1,1.005023513,1,0.962196976,0.50%,0.039288238,,,19 03 2020,1,1.02245626,1,0.914389818,2.25%,9.36%,,,,,,,,,,
20 03 2020,1,1.10601799,1,1.058380113,10.60%,-0.055159874,,,20 03 2020,1,1.108453195,1,1.054163742,10.85%,-5.14%,,,,,,,,,,
23 03 2020,1,0.958839627,1,0.98046144,-4.12%,0.019927923,,,23 03 2020,1,0.965183454,1,0.927410602,-3.48%,7.83%,,,,,,,,,,
24 03 2020,1,1.039683548,1,1.013756578,3.97%,-0.013569903,,,24 03 2020,1,1.057302817,1,1.017251954,5.73%,-1.70%,,,,,,,,,,
25 03 2020,1,1.012817619,1,1.049749187,1.28%,-0.047391498,,,25 03 2020,1,1.043452351,1,1.063287282,4.35%,-5.95%,,,,,,,,,,
26 03 2020,1,1.025909247,1,1.030274354,2.59%,-0.029384749,,,26 03 2020,1,1.020499575,1,1.029235647,2.05%,-2.84%,,,,,,,,,,
27 03 2020,1,1.004050786,1,1.006954737,0.41%,-0.006906703,,,27 03 2020,1,1.011073048,1,0.994367193,1.11%,0.57%,,,,,,,,,,
30 03 2020,1,1.004798073,1,1.025067817,0.48%,-0.024454789,,,30 03 2020,1,1.018593862,1,0.994269621,1.86%,0.58%,,,,,,,,,,
31 03 2020,1,1.011788745,1,1.004929619,1.18%,-0.004905437,,,31 03 2020,1,1.017109653,1,1.020641154,1.71%,-2.02%,,,,,,,,,,
01 04 2020,1,0.957668216,1,0.958104795,-4.23%,0.043727164,,,01 04 2020,1,0.959539355,1,0.95638918,-4.05%,4.56%,,,,,,,,,,
02 04 2020,1,0.985421008,1,0.9730826,-1.46%,0.027661989,,,02 04 2020,1,0.981280668,1,0.971876883,-1.87%,2.89%,,,,,,,,,,
03 04 2020,1,1.0169145,1,1.015373611,1.69%,-0.015140842,,,03 04 2020,1,1.017111584,1,1.023181958,1.71%,-2.27%,,,,,,,,,,
06 04 2020,1,1.020115343,1,1.02249133,2.01%,-0.021996597,,,06 04 2020,1,1.031041407,1,1.031071144,3.10%,-3.01%,,,,,,,,,,
07 04 2020,1,1.049778986,1,1.091887449,4.98%,-0.084154689,,,07 04 2020,1,1.057364136,1,1.077365234,5.74%,-7.18%,,,,,,,,,,
08 04 2020,1,0.98693172,1,0.968755454,-1.31%,0.032252253,,,08 04 2020,1,0.973300937,1,0.991781876,-2.67%,0.83%,,,,,,,,,,
09 04 2020,1,1.043878067,1,1.076457305,4.39%,-0.071026788,,,09 04 2020,1,1.054938495,1,1.054622891,5.49%,-5.18%,,,,,,,,,,
13 04 2020,1,1.004639185,1,1.004960155,0.46%,-0.004935674,,,13 04 2020,1,1.002789604,1,1.003526254,0.28%,-0.35%,,,,,,,,,,
14 04 2020,1,1.002111348,1,0.998106662,0.21%,0.001896929,,,14 04 2020,1,1.005660257,1,1.005383012,0.57%,-0.54%,,,,,,,,,,
15 04 2020,1,0.994794389,1,0.976862475,-0.52%,0.02368555,,,15 04 2020,1,0.982735085,1,0.963966282,-1.73%,3.74%,,,,,,,,,,
16 04 2020,1,1.006341338,1,1.001656437,0.63%,-0.001653698,,,16 04 2020,1,1.003297523,1,0.988623104,0.33%,1.15%,,,,,,,,,,
17 04 2020,1,1.031189855,1,1.015099152,3.12%,-0.014874559,,,17 04 2020,1,1.025299379,1,1.021761688,2.53%,-2.13%,,,,,,,,,,
20 04 2020,1,0.995639958,1,0.996691961,-0.44%,0.003319018,,,20 04 2020,1,0.980000986,1,0.997762487,-2.00%,0.22%,,,,,,,,,,
21 04 2020,1,0.973194988,1,0.972085582,-2.68%,0.028716009,,,21 04 2020,1,0.971064975,1,0.980689002,-2.89%,1.97%,,,,,,,,,,
22 04 2020,1,1.012432197,1,1.035694396,1.24%,-0.034464217,,,22 04 2020,1,1.003993003,1,1.0291734,0.40%,-2.83%,,,,,,,,,,
23 04 2020,1,1.007448062,1,0.99806168,0.74%,0.001942085,,,23 04 2020,1,1.010311747,1,1.006821139,1.03%,-0.68%,,,,,,,,,,
24 04 2020,1,0.989548795,1,1.013998237,-1.05%,-0.013804991,,,24 04 2020,1,1.006863632,1,1.015889452,0.69%,-1.56%,,,,,,,,,,
27 04 2020,1,1.020077263,1,1.00996811,2.01%,-0.009869727,,,27 04 2020,1,1.020561881,1,1.014064694,2.06%,-1.39%,,,,,,,,,,
28 04 2020,1,1.020179077,1,1.051823936,2.02%,-0.049270543,,,28 04 2020,1,1.03037196,1,1.039109489,3.04%,-3.76%,,,,,,,,,,
29 04 2020,1,0.993867545,1,1.012543031,-0.61%,-0.012387652,,,29 04 2020,1,1.016154012,1,1.011225378,1.62%,-1.11%,,,,,,,,,,
30 04 2020,1,0.983974434,1,1.001026171,-1.60%,-0.001025119,,,30 04 2020,1,0.996339313,1,1.007300266,-0.37%,-0.72%,,,,,,,,,,
01 05 2020,1,0.977754539,1,0.971364539,-2.22%,0.029479623,,,01 05 2020,1,0.95869621,1,0.970027137,-4.13%,3.09%,,,,,,,,,,
04 05 2020,1,0.98779227,1,0.96684711,-1.22%,0.034289693,,,04 05 2020,1,0.983904587,1,0.972665444,-1.61%,2.81%,,,,,,,,,,
