,,,,,0.044%,-0.0069%,,,,,,,,0.09%,0.10%,,,,,,,,,,
DATE,long value,EARNING LONG,short value,EARNING SHORT,profit long,,,,DATE,long value,EARNING LONG,short value,EARNING SHORT,,,,,0,0,0,0,0,0,282,155
28 02 2019,1,1.007922263,1,1.005102871,0.79%,-0.005076963,,,28 02 2019,1,1.006439043,1,1.005677027,0.64%,-0.56%,,,,,,,,,,
01 03 2019,1,1.013708327,1,1.000633056,1.37%,-0.000632656,,,01 03 2019,1,1.013478136,1,1.002560658,1.35%,-0.26%,,,,,,,,,,
04 03 2019,1,0.995821807,1,1.009186814,-0.42%,-0.009103185,,,04 03 2019,1,0.998497151,1,1.008212799,-0.15%,-0.81%,,,,,,,,,,
05 03 2019,1,0.988188259,1,0.991605328,-1.18%,0.00846574,,,05 03 2019,1,0.984200359,1,0.990574202,-1.58%,0.95%,,,,,,,,,,
06 03 2019,1,0.991198123,1,0.999344772,-0.88%,0.000655657,,,06 03 2019,1,0.997057864,1,0.997982263,-0.29%,0.20%,,,,,,,,,,
07 03 2019,1,0.985718342,1,0.987136698,-1.43%,0.013030923,,,07 03 2019,1,0.993587745,1,0.984118343,-0.64%,1.61%,,,,,,,,,,
08 03 2019,1,0.988256226,1,0.981151756,-1.17%,0.019210325,,,08 03 2019,1,0.988981235,1,0.984895553,-1.10%,1.53%,,,,,,,,,,
11 03 2019,1,1.007047778,1,1.007699155,0.70%,-0.007640331,,,11 03 2019,1,1.000692689,1,1.008883242,0.07%,-0.88%,,,,,,,,,,
12 03 2019,1,1.014943022,1,1.016028389,1.49%,-0.015775533,,,12 03 2019,1,1.010191183,1,1.016545825,1.02%,-1.63%,,,,,,,,,,
13 03 2019,1,0.942252932,1,1.007847034,-5.77%,-0.007785938,,,13 03 2019,1,0.995625491,1,0.921612713,-0.44%,8.51%,,,,,,,,,,
14 03 2019,1,0.942975474,1,0.998434368,-5.70%,0.001568087,,,14 03 2019,1,0.999975746,1,0.91751185,0.00%,8.99%,,,,,,,,,,
15 03 2019,1,0.998826085,1,0.995405015,-0.12%,0.004616197,,,15 03 2019,1,0.997347521,1,1.002975414,-0.27%,-0.30%,,,,,,,,,,
18 03 2019,1,1.006547547,1,1.005612207,0.65%,-0.005580885,,,18 03 2019,1,1.005665845,1,1.004687897,0.57%,-0.47%,,,,,,,,,,
19 03 2019,1,1.01305507,1,1.006287329,1.31%,-0.006248046,,,19 03 2019,1,1.008620587,1,1.001706825,0.86%,-0.17%,,,,,,,,,,
20 03 2019,1,0.997557148,1,0.974731818,-0.24%,0.025923214,,,20 03 2019,1,0.996077355,1,0.975673089,-0.39%,2.49%,,,,,,,,,,
21 03 2019,1,0.988040762,1,1.003029167,-1.20%,-0.003020019,,,21 03 2019,1,0.986103067,1,1.003710524,-1.39%,-0.37%,,,,,,,,,,
