RNG,274.0,270.0
ASML,340.5100097656,347.8500061035
MSI,141.1799926758,146.6499938965
AKAM,105.5,102.2099990845
PAYC,308.7900085449,303.7799987793
COMM,10.4899997711,10.5699996948
ERIC,9.5699996948,9.6499996185
NOW,389.9899902344,385.6900024414
CDNS,92.9000015259,92.2300033569
BSBR,5.7899999619,5.7100000381
COF,72.9700012207,73.9700012207
MTB,109.9300003052,113.0800018311
AXP,102.7799987793,103.4700012207
CFG,26.1200008392,26.6599998474
MS,46.9799995422,46.7099990845
KEY,12.3100004196,12.5900001526
FITB,20.8999996185,21.3099994659
HSBC,24.9899997711,24.8700008392
CMA,39.2799987793,40.8300018311
RF,12.1000003815,12.1400003433
BPOP,39.8199996948,41.4599990845
RWLK,1.6900000572,1.5700000525
LVS,48.7700004578,53.8600006104
TD,45.8100013733,46.0600013733
WYNN,85.8000030518,96.9800033569
H,58.2900009155,60.1699981689
MAR,97.3000030518,100.1399993896
KEYS,106.5,105.0
SNPS,184.0,183.3099975586
NVS,85.5500030518,85.5
DXCM,374.0,363.6600036621
CI,203.5599975586,199.4600067139
ANTM,296.0,286.8399963379
LLY,153.3399963379,152.2100067139
NVO,64.4700012207,64.9700012207
EW,74.6100006104,74.1600036621
BDX,243.2100067139,242.0
SYK,199.3099975586,198.7899932861
MCO,279.5899963379,280.0
DE,155.1300048828,156.7899932861
RSG,87.4499969482,86.7699966431
SLB,19.3299999237,19.6299991608
WM,108.3499984741,109.0
