NOK,6.0900001526,6.1199998856,0.03587212354799954
DB,9.1400003433,9.2399997711,0.01988102861877126
WB,67.3300018311,68.6100006104,0.015942625357523933
TOL,35.8800010681,35.0299987793,0.005522964677438095
MTH,43.3100013733,43.0400009155,0.0017365359877136318
GOOGL,1156.0,1171.7600097656,0.846783340895257
GOOG,1150.0600585938,1162.4899902344,0.8424322652649247
RYI,8.3299999237,8.6300001144,0.0003284805959930794
WDC,52.0,50.3600006104,0.01620979135023588
STM,16.7399997711,16.3299999237,0.015836590006172498
BUD,81.9599990845,82.0699996948,0.1688952077173668
NEP,44.3899993896,44.8699989319,0.0026225898154102804
SPR,97.7099990845,96.5500030518,0.01085217131711358
BBL,46.1300010681,46.9500007629,0.258621773336942
PFE,40.8823547363,40.6261863708,0.2461424190825798
NERV,8.3800001144,8.4099998474,0.000341972122852659
QURE,59.4500007629,57.1800003052,0.002338535817173318
VCYT,20.7199993134,19.6200008392,0.0008916706668604786
BIIB,327.75,327.4899902344,0.06806627452480836
PLCE,85.4400024414,90.4599990845,0.001424105699236656
HFC,52.0900001526,51.5,0.009442170225085264
BTI,37.8499984741,39.6500015259,0.09143198734615467
OFG,21.0200004578,20.8999996185,0.0011354839014363516
SMLP,153.75,150.75,0.0007922237486373204
SUN,30.0,29.8199996948,0.002611713957682036
FBP,11.4099998474,11.3199996948,0.002610346060917702
ALGN,244.9400024414,237.7899932861,0.020579045737149478
FL,63.7000007629,63.0499992371,0.007576047215840013
TNDM,64.7699966431,66.9599990845,0.003925832418863682
GILD,65.2300033569,64.4499969482,0.08806793152626466
TMUS,71.75,71.4100036621,0.06424144825913515
MO,52.3100013733,53.25,0.10324048508394616
HDSN,1.2899999619,1.3799999952,5.787705693755479e-05
GPRK,19.5,19.2900009155,0.0012470545021316924
ARDX,2.9400000572,3.0299999714,0.00019356430294516114
TACT,10.0799999237,10.3400001526,7.874940684598614e-05
FCEL,6.3600001335,5.8800001144,5.33130423083222e-05
DFS,71.3399963379,71.1699981689,0.02490164429871468
GNE,8.6499996185,8.6899995804,0.0002447562541535361
GLBZ,11.6499996185,10.8299999237,3.4526858657882645e-05
KO,45.6500015259,45.6699981689,0.205185930058281
BURL,167.8300018311,168.3300018311,0.011867692756147548
CYTK,6.7199997902,6.4899997711,0.0003872408192749204
TRIP,52.7200012207,50.0,0.0076564280374487636
YY,71.4499969482,81.3600006104,0.0955569443933471
IBM,132.2848968506,132.0458831787,0.12433426704663712
DAC,13.8599996567,13.4399995804,0.00022241197575942763
MSCI,187.6199951172,187.4400024414,0.01663183540042259
