IEO,55.5200004578,53.3100013733
SANW,2.4700000286,2.6099998951
BIIB,234.8600006104,239.3600006104
CDW,112.6800003052,121.0
GRFS,19.9099998474,20.3099994659
KLAC,153.2100067139,152.5899963379
MTH,68.4599990845,69.8000030518
NCMI,8.1000003815,8.5
ICE,92.3300018311,94.4499969482
SUI,147.9499969482,149.4400024414
WPC,87.9599990845,89.0
AZO,1136.1700439453,1157.5999755859
STX,55.4700012207,55.8499984741
ATVI,55.5,55.2099990845
GPN,167.0500030518,164.25
ITRI,74.9700012207,75.0
ELS,66.125,67.2249984741
DKS,38.3899993896,38.9000015259
RH,169.5500030518,173.3899993896
RMBS,13.8400001526,13.7399997711
VMC,145.3899993896,147.3999938965
CLR,38.7299995422,33.9599990845
NOC,371.4400024414,376.3999938965
GOGO,6.5300002098,6.4400000572
JNJ,129.6000061035,129.8999938965
DRRX,1.9500000477,1.9400000572
LCI,13.5,13.8299999237
NIO,3.1099998951,3.2100000381
NBY,0.5099999905,0.5899999738
COP,62.4700012207,60.0
EOG,84.4000015259,80.0
RSX,23.8299999237,23.6499996185
DAL,58.3100013733,59.4500007629
GME,4.3000001907,4.3299999237
SPLK,117.5,118.0
