date,no. sentiment words,alpha plus,alpha_minus,kappa,lambda,normalised error
2010-1-1,100,0.07568830526778368,0.09020387066160519,88,5,20407.823895332713
2010-5-1,100,0.06126220726959875,0.07164563223054768,90,10,20724.67866464644
2010-9-1,25,0.0888417043270461,0.09813909198917883,94,5,20489.267695370072
2011-1-1,25,0.10232332719371821,0.11144124743870303,92,5,20054.7781404689
2011-5-1,25,0.10529775614937453,0.11339758354548027,92,5,19171.115929411484
2011-9-1,100,0.04556845393787431,0.03831892717503067,94,5,19300.798609044497
2012-1-1,100,0.07962093552100445,0.07647800385570164,88,5,20512.657325752236
2012-5-1,100,0.05720407086445689,0.04680333070728292,92,10,21856.761992989916
2012-9-1,100,0.055721068908025265,0.043104977834510116,92,10,22273.734865432296
2013-1-1,50,0.06405333387707561,0.06510338853079817,94,5,21631.77868494364
2013-5-1,50,0.09960699635852475,0.11724573529701351,88,5,22211.64283658407
2013-9-1,100,0.0709012143885924,0.0811767527057797,88,10,23407.615519806477
2014-1-1,100,0.04049056767505618,0.03846603929130338,94,5,24860.114219529914
2014-5-1,100,0.08734473772057331,0.10039625025353256,86,5,24194.882283151066
2014-9-1,100,0.041180289903990384,0.041180289903990384,94,5,23539.456904843133
2015-1-1,100,0.04987258105542292,0.057852194024290586,92,5,22821.517258023847
2015-5-1,100,0.04911112291975394,0.059133801066642504,92,5,23627.826067367845
2015-9-1,100,0.06134601342296558,0.07743677104210409,90,5,26349.572128968426
2016-1-1,100,0.04978928051795465,0.06299868147169771,92,5,29938.69444760213
2016-5-1,100,0.040526560626586314,0.04356605267358029,94,5,30330.450451382847
