DATE,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-04,0,0,0,0,0,0,333,333
2019-01-07,9999.999999999998,10128.289500527939,9999.999999999998,10179.897691335429,30,49,198,198
2019-01-08,10000.0,10078.112830314416,9999.999999999998,10207.208117825685,18,45,227,227
2019-01-09,10000.000000000002,9993.003757091543,9999.999999999998,10044.94418769206,18,48,268,268
2019-01-10,10000.0,9915.072007089624,10000.000000000002,9966.30202084119,36,48,285,285
2019-01-11,9999.999999999998,10071.90882734963,10000.000000000002,10049.29435310739,39,46,244,244
2019-01-14,10000.0,10005.570692346346,10000.0,9981.27980752846,22,47,226,226
2019-01-15,9999.999999999998,10086.353681052793,10000.000000000004,10058.896272371823,32,47,263,263
2019-01-16,10000.000000000002,10015.336147300986,10000.000000000002,9723.190485475401,21,48,293,293
2019-01-17,10000.000000000002,9891.859387362065,9999.999999999998,9967.137423779677,23,48,190,190
2019-01-18,10000.0,10116.779760751322,9999.999999999996,10182.372763870102,14,49,250,250
2019-01-22,10000.000000000002,10006.89312643836,10000.000000000002,9836.094655109435,17,50,200,200
2019-01-23,10000.0,9907.999099296754,10000.000000000002,9983.518077442453,21,45,242,242
2019-01-24,9999.999999999996,9973.765784713141,10000.0,9870.415184726297,31,49,276,276
2019-01-25,10000.0,10183.99352900943,10000.0,10090.769483046197,16,50,270,270
2019-01-28,10000.0,9928.830422458528,9999.999999999987,9873.872846156313,29,46,275,275
2019-01-29,10000.0,10131.55378819316,10000.000000000002,9940.970554821371,20,49,223,223
2019-01-30,10000.000000000002,9987.624795161682,9999.999999999998,10030.536862209183,25,49,304,304
2019-01-31,10000.000000000002,10130.058184397692,10000.000000000004,10065.618887282337,21,49,273,273
2019-02-01,10000.000000000002,10166.820529841221,9999.999999999998,10117.606714318179,19,47,267,267
2019-02-04,10000.0,9967.772162210691,9999.999999999995,9992.70157346985,18,50,218,218
2019-02-05,10000.0,10079.639453942116,10000.0,10068.19930260699,15,49,238,238
2019-02-06,10000.000000000002,9937.922848035912,9999.999999999998,10013.29771198605,21,49,222,222
2019-02-07,10000.000000000002,10004.833052137838,10000.000000000002,9840.136095811446,26,50,265,265
2019-02-08,10000.0,9860.98985960849,9999.999999999996,9926.219758073225,13,50,285,285
2019-02-11,10000.0,10148.310768720288,10000.0,10122.255192861077,26,46,247,247
2019-02-12,10000.0,10012.150733238017,9999.999999999998,10098.900595093997,13,49,220,220
2019-02-13,9999.999999999998,10080.402885867885,10000.0,10053.210229786346,17,44,264,264
2019-02-14,10000.0,9875.086945204477,10000.0,9899.365480752305,14,47,256,256
2019-02-15,10000.0,10063.849396234376,10000.0,10099.044998328287,17,44,303,303
2019-02-19,10000.000000000002,10007.468180849368,10000.000000000004,10058.07512280108,29,50,370,370
2019-02-20,10000.0,10041.176801537275,9999.999999999998,10065.620259504456,19,47,319,319
2019-02-21,10000.0,9974.68776507577,9999.999999999998,10046.751906244508,20,49,294,294
2019-02-22,9999.999999999998,9931.645734537797,10000.000000000004,10059.225626769301,23,47,337,337
2019-02-25,10000.000000000002,10099.335436329504,9999.999999999998,10121.282851605403,31,49,249,249
2019-02-26,9999.999999999996,9901.799524836422,10000.0,9898.819651520542,12,49,260,260
2019-02-27,10000.0,9992.36874350151,10000.0,10043.625476393865,17,47,292,292
2019-02-28,9999.999999999998,10049.591352502002,10000.0,10015.13590676879,19,49,270,270
2019-03-01,9999.999999999998,10134.817408195277,10000.0,10030.29485730102,27,50,286,286
2019-03-04,10000.000000000004,9984.67322182675,9999.999999999998,9981.789725102559,23,47,258,258
2019-03-05,10000.000000000004,10016.871107074105,10000.000000000002,9874.12051041631,21,48,228,228
2019-03-06,10000.000000000002,9918.131249152235,10000.0,10049.379094312495,22,47,226,226
2019-03-07,10000.000000000004,9882.316599856083,9999.999999999995,9938.579966145382,28,45,239,239
2019-03-08,10000.000000000002,9845.393683390499,9999.999999999998,9805.818258763586,19,49,249,249
2019-03-11,9999.999999999996,10087.658277567953,10000.000000000005,10089.858717036148,28,50,206,206
2019-03-12,10000.000000000002,10066.189693975128,9999.999999999995,10173.158510047811,17,48,225,225
2019-03-13,9999.999999999998,10010.506089659215,10000.000000000002,10030.936882240558,15,49,197,197
2019-03-14,10000.000000000004,10031.20444910241,9999.999999999998,10041.629330935499,22,46,193,193
2019-03-15,10000.0,9904.733850159862,9999.999999999995,9984.565371318118,11,47,175,175
2019-03-18,9999.999999999998,10081.14122333216,10000.000000000002,10010.710763150551,11,46,172,172
2019-03-19,9999.999999999998,10027.8628553159,10000.000000000002,10135.859193876051,18,44,194,194
2019-03-20,10000.0,9977.531926934405,9999.999999999998,9944.879820738122,12,47,213,213
2019-03-21,10000.000000000002,10014.312861152133,10000.000000000007,9964.368193163196,14,48,186,186
2019-03-22,10000.000000000002,10070.489192243382,10000.000000000004,10053.57297462522,18,49,216,216
2019-03-25,9999.999999999995,9929.336574438466,9999.999999999998,9767.144246631755,18,47,211,211
2019-03-26,10000.000000000004,10206.971104187607,10000.0,10111.713120189837,16,45,198,198
2019-03-27,10000.0,10117.895768372888,9999.999999999995,9996.694418552832,13,49,211,211
2019-03-28,10000.0,9921.625224616191,10000.000000000007,9935.266222710474,24,50,192,192
2019-03-29,9999.999999999998,10086.39299568708,9999.999999999998,9999.01217899795,25,44,219,219
2019-04-01,10000.000000000002,10081.062899213133,10000.0,10083.211797566511,18,48,221,221
