DOC,18.2999992371,18.3400001526
HAS,96.4599990845,95.2099990845
F,9.4799995422,9.6199998856
HMC,24.4400005341,24.6399993896
AMT,204.6900024414,208.8600006104
BABA,149.6300048828,149.6000061035
RDUS,21.7099990845,20.7600002289
CME,190.0599975586,192.4499969482
DOW,47.9599990845,46.8499984741
MDT,92.1200027466,92.7799987793
FAST,30.3400001526,30.0100002289
PSA,233.3099975586,238.1699981689
HSY,129.9700012207,131.9299926758
SNP,66.2799987793,66.4199981689
CALA,5.2899999619,5.2899999619
VALE,12.3699998856,12.5500001907
TM,117.5,117.5800018311
UBS,11.4600000381,11.3299999237
NTRS,86.4400024414,85.7099990845
ETN,74.8700027466,74.5699996948
VIA,10.0,9.75
ATRA,22.7099990845,22.0400009155
EQT,18.1900005341,18.2900009155
EWU,31.5,31.7299995422
BWA,35.5800018311,35.4799995422
LOW,92.5,93.0299987793
SF,35.6399993896,35.7533340454
VLO,71.0199966431,70.7099990845
VSAT,88.3700027466,87.1299972534
YUM,100.8899993896,102.2399978638
KGC,3.2200000286,3.3299999237
AIG,51.4000015259,51.0600013733
QSR,64.9100036621,65.6999969482
RWLK,3.6300001144,3.5999999046
ARMK,34.75,34.6899986267
MO,49.9199981689,49.25
CMCSA,41.3899993896,41.0299987793
PCG,17.5499992371,17.2000007629
STLD,25.3999996185,25.1200008392
X,11.8199996948,11.8500003815
VZ,55.0900001526,54.6800003052
TOL,35.2400016785,34.6899986267
RRGB,26.0,25.5100002289
RSX,21.5699996948,21.9799995422
ANF,17.1000003815,17.2999992371
OXY,51.1500015259,50.2999992371
TEVA,8.7399997711,8.9600000381
ZNGA,6.1799998283,6.2699999809
EWC,27.2000007629,27.3700008392
EWW,42.3600006104,42.5600013733
