NR,7.3299999237,5.9200000763
TEX,28.8099994659,25.4500007629
BANX,22.7999992371,22.7999992371
CF,46.7799987793,46.0
LNC,61.5499992371,58.0
BSAC,26.1399993896,24.6399993896
NLY,8.9200000763,8.9300003052
RAIL,4.1999998093,3.9800000191
SJW,73.0599975586,70.7799987793
NI,26.9899997711,27.7199993134
FARO,47.5499992371,40.7999992371
AGNC,16.4500007629,16.5599994659
ZNGA,6.1199998856,6.3499999046
BG,55.0400009155,53.0
DRE,35.2900009155,35.8600006104
NYCB,13.4200000763,11.7899999619
HVT,21.1000003815,18.5100002289
ST,49.2900009155,50.6100006104
ALKS,20.6299991608,19.8099994659
UIHC,12.2899999619,11.9899997711
MMSI,30.1499996185,22.4599990845
CYH,4.25,3.7799999714
COP,57.4399986267,54.8699989319
ITUB,7.3948888779,7.4608411789
PXD,127.5899963379,122.1200027466
WLL,7.3800001144,6.6100001335
PBI,5.3400001526,4.7399997711
PEI,6.3200001717,5.6599998474
RIG,5.1700000763,4.8499999046
UNM,28.2700004578,27.3500003815
RES,4.5599999428,4.1199998856
SLB,34.6599998474,33.1199989319
GILD,63.4500007629,62.9099998474
MPC,68.6900024414,66.5999984741
TAP,52.9700012207,52.9500007629
TPX,20.4074993134,21.1900005341
EQIX,570.7199707031,572.700012207
OIIM,1.2999999523,1.2899999619
MTOR,23.1000003815,22.8099994659
ABC,88.0,85.4499969482
OMI,7.5100002289,6.8800001144
KW,22.9099998474,22.9599990845
CERS,4.5500001907,4.1700000763
WERN,38.3800010681,37.4199981689
MAS,45.0,46.0800018311
HAL,20.3999996185,19.3199996948
ATSG,21.25,20.6399993896
YUM,102.4899978638,103.0299987793
BFAM,147.0099945068,148.4100036621
TYL,264.5400085449,245.0
