COP,44.7200012207,42.6100006104
NCLH,17.3799991608,15.279999733
FISV,105.8000030518,106.5599975586
AZN,53.6199989319,55.2799987793
BMY,60.9599990845,60.2999992371
SNY,48.0099983215,49.4399986267
MRK,75.0,75.8206100464
KIRK,1.1599999666,1.1000000238
REGN,547.5,580.700012207
MTH,78.1399993896,70.5299987793
TPH,15.7100000381,14.2299995422
TMHC,20.4899997711,18.9099998474
PHM,36.9099998474,34.1100006104
HOV,17.8999996185,15.6999998093
CHCI,2.0599999428,2.7999999523
MDC,34.5277786255,31.2129631042
DHI,59.75,55.5999984741
CVCO,208.9900054932,187.2700042725
LEN,65.6900024414,59.7599983215
PATK,57.1500015259,51.4099998474
KBH,35.75,33.3600006104
TOL,35.0600013733,31.8500003815
LOW,128.8999938965,128.1000061035
UNH,305.950012207,304.7200012207
JCI,32.2000007629,31.1499996185
EWU,26.1399993896,25.8700008392
CSX,24.6599998474,23.6499996185
CNO,15.3999996185,14.6599998474
CNK,17.2800006866,14.8900003433
VRS,14.8699998856,14.4200000763
HAIN,30.7399997711,30.5200004578
EQIX,681.6699829102,697.1799926758
MARK,3.4300000668,2.5
USB,38.0900001526,35.8600006104
CLVS,6.9000000954,6.9600000381
FXI,38.4900016785,38.7200012207
C,52.9900016785,48.0200004578
NRZ,7.6900000572,7.3499999046
AHT,89.0,78.0
FTNT,131.4600067139,135.7799987793
MAS,47.8600006104,45.5999984741
CNTY,5.1799998283,5.0500001907
