IVAC,3.5199999809,3.4900000095
AEM,37.7900009155,41.5900001526
FSM,2.4800000191,2.7799999714
TXN,97.3499984741,102.1500015259
AG,5.9299998283,7.1500000954
FNV,97.2300033569,109.9800033569
GOLD,16.3999996185,18.7800006866
ENPH,26.3600006104,30.8400001526
CMG,561.3099975586,639.0
BBL,25.3999996185,29.4200000763
RGLD,74.9400024414,87.25
ADBE,296.6700134277,322.9599914551
CPE,4.6999998093,5.3000001907
X,5.2199997902,5.9400000572
CRH,20.0900001526,21.4699993134
MT,7.7399997711,9.1599998474
GFI,4.3299999237,5.3899998665
LPG,7.8400001526,8.6899995804
TSN,53.3400001526,62.0200004578
WDC,32.0900001526,37.5900001526
AUY,2.7400000095,3.2200000286
MCHP,32.1300010681,34.9449996948
NVDA,51.4275016785,57.25
KGC,3.8599998951,4.4600000381
BHP,31.7299995422,36.4099998474
DHT,5.75,6.2100000381
NEM,41.4399986267,45.1199989319
BP,17.9899997711,20.6200008392
AU,15.6899995804,18.3400001526
PHG,33.4199981689,36.1500015259
ASML,225.3300018311,254.3300018311
LRCX,190.6799926758,209.4900054932
BTG,2.9000000954,3.3900001049
FRO,6.5700001717,7.3099999428
QCOM,61.5499992371,66.0
RNG,184.4900054932,198.7100067139
UBSI,20.7900009155,22.1900005341
PFSI,18.4300003052,19.7299995422
JRVR,30.3899993896,32.1300010681
RLI,74.4100036621,79.0400009155
PEP,106.0,109.9300003052
KO,38.7599983215,41.2200012207
PAAS,13.3000001907,16.0300006866
DHR,135.9499969482,125.75
TS,11.2600002289,11.5799999237
STM,17.1000003815,19.5200004578
HAL,5.1999998093,5.9200000763
AMD,40.6199989319,44.0400009155
QSR,31.9799995422,35.1800003052
WEN,10.8199996948,12.7299995422
