date,no. sentiment words,alpha plus,alpha_minus,kappa,lambda,normalised error
2010-1-1,100,0.016764004805279044,0.021773348090732288,90,5,20416.73147882525
2010-5-1,50,0.11227078239026043,0.08981662591220833,88,5,20716.473489589822
2010-9-1,25,0.1358451641744949,0.10130278640198787,92,5,20677.312098033555
2011-1-1,25,0.11751986093535954,0.056733725968794266,94,5,20238.529158722253
2011-5-1,100,0.026324439037343633,0.0242994821883172,92,5,19341.181373499174
2011-9-1,100,0.06974900873702225,0.04608627727807743,88,5,19354.596487807612
2012-1-1,100,0.00013095548605428364,1.2788621684988636e-07,94,5,20568.697714702637
2012-5-1,100,0.05720407086445689,0.05785411712428027,88,10,21840.62238016952
2012-9-1,25,0.14718772919101014,0.17136857041524756,86,10,22286.95630506712
2013-1-1,25,0.1386072142913768,0.163808525980718,88,5,21719.862871017587
2013-5-1,25,0.14188809116696105,0.16186136908260274,88,5,22357.35464441189
2013-9-1,100,0.02055107663437461,0.012330645980624765,94,5,23398.946370316513
2014-1-1,100,0.018347288477759835,0.014171698686269666,94,5,24854.798023862444
2014-5-1,50,0.0998942690022649,0.1199111390586122,88,5,24305.77748883769
2014-9-1,100,0.027415314058337605,0.028123124812481245,94,5,23519.784308524057
2015-1-1,100,0.02381415745396444,0.023938838906603,94,5,22768.096143849383
2015-5-1,100,0.021047624108465977,0.02929027363768997,94,5,23613.922311494338
2015-9-1,100,0.06838571988133867,0.061848849598563654,90,5,26419.554449002295
2016-1-1,100,0.08230472901947604,0.07722419019111333,88,5,29914.029768900084
