IP,40.3409080505,42.2348480225
WBK,18.3600006104,18.3500003815
CFR,93.8700027466,93.0
COLM,81.3300018311,82.6200027466
ASB,20.1399993896,20.2399997711
TNK,8.3999996185,8.3999996185
RSG,72.9700012207,74.3199996948
NVGS,9.3100004196,9.2600002289
BKU,32.3899993896,31.7000007629
NS,24.7299995422,24.6700000763
UMBF,62.8499984741,63.3499984741
DHT,4.2600002289,4.3000001907
FRC,86.1100006104,85.2799987793
MTH,41.3199996948,41.6599998474
PB,66.5599975586,66.3499984741
PNC,120.3700027466,118.8199996948
BLK,399.1199951172,395.0100097656
BLDR,12.529999733,12.0100002289
FRO,5.9600000381,5.6399998665
YELP,32.9199981689,34.3699989319
DECK,124.6100006104,113.5999984741
CHS,6.1900000572,5.9600000381
FL,54.7900009155,55.75
OSTK,14.8999996185,15.0100002289
AEO,18.8299999237,19.0699996948
GPS,25.1700000763,24.6499996185
FIVE,116.4400024414,122.2200012207
ANF,19.5200004578,19.3299999237
JBLU,16.1599998474,17.0799999237
JWN,45.8100013733,47.2099990845
PBR,15.4200000763,15.220000267
NYCB,9.9899997711,10.1499996185
ITW,128.0,130.4900054932
BIG,29.0499992371,30.5300006866
AEHR,1.4900000095,1.2999999523
EL,122.5500030518,125.2799987793
BK,47.5,47.1100006104
PCG,18.0499992371,17.0
URBN,32.0,31.8799991608
FITB,24.9500007629,24.7900009155
KEP,15.220000267,15.4099998474
GBX,38.8600006104,38.6699981689
M,26.3700008392,26.1299991608
DAL,46.6800003052,48.2200012207
RES,10.6599998474,10.970000267
XRT,42.4399986267,43.5099983215
FCEL,7.1999998093,6.5999999046
GOOGL,1074.9399414062,1069.9000244141
GOOG,1067.6600341797,1063.1800537109
HTBX,8.75,8.8900003433
