DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-01,0,0,0,0,0,0,0,282,186
2019-01-02,30,16,5.848024368700023,-63.11425858779998,38,49,1.0114942528735633,220,163
2019-01-03,23,33,-24.14314079319998,38.50311946869997,50,50,0.76,171,117
2019-01-06,39,2,164.99094247839997,-106.94001245500004,43,50,1.021505376344086,263,152
2019-01-07,42,9,103.34645104439997,-42.19001019000002,50,50,0.87,296,204
2019-01-08,34,24,18.228151142900032,3.394881367499967,50,50,0.84,246,163
2019-01-09,19,32,-31.470736622400064,23.597335844799996,50,50,0.82,221,143
2019-01-10,28,23,10.317036509800062,-4.003955840900004,49,50,0.8787878787878788,230,130
2019-01-13,28,21,30.123902559199948,1.9185139538999527,48,50,0.9081632653061225,266,176
2019-01-14,30,19,-4.113332509900008,-39.279555797799986,50,50,0.93,187,132
2019-01-15,38,12,43.712366342399974,-59.040772676600035,50,50,0.82,216,137
2019-01-16,21,31,-19.42669886310007,13.187369826499985,50,50,0.89,208,156
2019-01-17,37,13,59.768015350900036,-55.607062817100044,50,50,0.87,165,106
2019-01-21,32,29,1.668017863899978,-1.570034384700005,50,50,0.91,263,187
2019-01-22,27,31,-6.76987409560002,20.923336029000012,50,50,0.89,261,181
2019-01-23,33,27,28.361984967999977,-4.314370989600002,50,50,0.91,294,207
2019-01-24,39,14,78.28001844889995,-17.711965084400017,50,50,0.93,178,128
2019-01-27,19,43,-164.01421785329995,54.62749731540011,50,50,0.95,273,198
2019-01-28,37,19,18.2914514542,1.525811612499992,50,50,0.95,256,162
2019-01-29,31,27,9.11115860930003,9.40335154530004,50,50,0.86,252,189
2019-01-30,38,19,60.691253185299985,4.396051883600018,50,50,0.92,237,166
2019-01-31,39,17,47.85356879200002,-47.21669721599997,50,49,0.8888888888888888,195,129
2019-02-03,30,29,18.042127609200044,-2.2003040313999893,47,50,0.9484536082474226,194,116
2019-02-04,37,17,48.459101677399914,-18.427761555000075,50,50,0.94,247,178
2019-02-05,35,25,65.13496971100004,42.666227340700026,50,50,0.93,248,193
2019-02-06,19,31,-12.63246536250003,15.604045420300015,50,50,0.95,280,208
2019-02-07,25,33,5.138096690199887,48.55001837019997,50,50,0.88,158,117
2019-02-10,32,15,28.334977149700045,-38.33563613869998,50,50,0.87,232,157
2019-02-11,36,17,24.26902323949994,-21.855158805799984,50,50,0.85,214,153
2019-02-12,31,21,23.664994061400026,-14.37695543079998,50,50,0.95,272,214
2019-02-13,20,30,-38.99806785579999,27.75173417300005,50,50,0.89,393,226
2019-02-14,36,15,57.79076647809998,-51.96001839640003,50,50,0.84,261,143
2019-02-18,32,24,-1.8428553344999719,23.571618318400017,50,50,0.94,264,177
2019-02-19,37,15,23.4840145707,-10.765501022100024,50,50,0.91,288,206
2019-02-20,28,35,8.579979777399965,37.40695917619997,50,50,0.93,309,222
2019-02-21,27,24,23.636633396400008,41.569162011299966,50,50,0.9,205,151
2019-02-24,36,9,76.79137182260003,-62.46008491479995,44,50,0.9787234042553191,237,164
2019-02-25,17,39,-26.17399740240004,49.169338703099896,50,50,0.88,274,211
2019-02-26,23,26,-2.920856237499958,3.9030353431000098,50,50,0.87,250,186
2019-02-27,31,35,-24.30704760610002,52.37848591799997,50,50,0.94,268,189
2019-02-28,33,25,40.40945315369996,3.089985609000002,50,50,0.92,194,138
2019-03-03,28,25,14.180027604200012,2.121799230500004,50,50,0.82,225,153
2019-03-04,22,40,-28.649569868700002,87.48850762859996,50,50,0.88,217,144
2019-03-05,25,26,50.96213316919996,8.301750421499985,48,50,0.8163265306122449,243,183
2019-03-06,18,41,-19.308565124299957,76.68678581660001,50,50,0.89,230,160
2019-03-07,10,40,-45.029999137000004,97.38429206619998,50,50,0.71,166,116
2019-03-10,30,22,72.82989144349997,0.4950084683999627,38,50,1.0227272727272727,210,123
2019-03-11,42,8,58.075323462499995,-38.3449547288001,50,50,0.76,190,126
2019-03-12,30,24,-103.93331170090005,37.941973209400025,45,50,0.8315789473684211,185,124
2019-03-13,29,24,14.971505164600002,18.363330960300015,47,50,0.9072164948453608,171,108
2019-03-14,25,25,1.1075011493000049,-5.891302764200002,42,50,0.8369565217391305,167,111
2019-03-17,34,17,22.9567767379,-2.6505180001,50,50,0.87,221,155
2019-03-18,37,13,27.480687618400008,-1.6873862742999677,48,50,0.8163265306122449,188,122
2019-03-19,13,38,7.535001635399963,46.80472105659999,43,50,0.9139784946236559,236,160
2019-03-20,28,33,74.64459848389998,20.300019025700013,50,50,0.9,213,170
2019-03-21,43,31,71.99355840669995,7.9917421336999706,50,50,0.55,189,136
2019-03-24,10,49,-32.43587541579997,74.8711949586,24,50,0.9324324324324325,178,100
