DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-09-25,10000.000000000002,9732.480201621347,10000.000000000004,9741.126923180325,50,50,287,159
2019-09-26,10000.0,10248.750593093197,9999.999999999996,10006.805719442114,36,50,253,128
2019-09-27,10000.000000000002,10055.156683110992,10000.000000000002,10006.635047362912,35,50,283,145
2019-09-30,9999.999999999998,9932.311542697746,9999.999999999998,9862.155455741016,43,50,385,223
2019-10-01,10000.0,10157.436709191437,10000.000000000004,10051.565783866197,50,50,420,324
2019-10-02,10000.000000000002,9927.026745307488,9999.999999999998,9699.981678937256,34,50,365,214
2019-10-03,9999.999999999995,9942.69325587569,9999.999999999996,9890.84633811465,50,50,244,119
2019-10-04,10000.0,10349.409463124555,9999.999999999998,10052.427885986846,29,50,279,124
2019-10-07,10000.000000000004,10310.983020440037,10000.000000000004,9905.626556839876,37,50,406,302
2019-10-08,10000.000000000002,10012.016768660638,10000.000000000002,9849.353118687599,41,50,278,164
2019-10-09,10000.000000000002,9948.708700330499,9999.999999999996,9939.719893599367,50,50,330,211
2019-10-10,10000.000000000002,10035.698519860292,9999.999999999998,9936.804776950677,50,50,438,286
2019-10-11,9999.999999999998,10278.903395490048,10000.0,10127.327013304479,50,47,258,117
2019-10-14,10000.000000000002,10073.821524635867,10000.000000000004,9951.977840959882,27,50,326,180
2019-10-15,9999.999999999998,10089.86432118619,10000.0,9978.296101775195,50,50,286,142
2019-10-16,10000.0,10029.012685272577,10000.0,9931.454689228045,50,50,336,161
2019-10-17,9999.999999999996,10111.608805886346,9999.999999999996,9999.362263064884,50,50,315,159
2019-10-18,10000.000000000002,10045.657569593057,9999.999999999998,9891.49545784317,46,50,463,198
2019-10-21,10000.0,9975.13511213352,9999.999999999998,9916.989565052814,50,50,305,170
2019-10-22,10000.0,10011.418765092074,10000.0,9976.027189368251,50,49,434,229
2019-10-23,10000.000000000004,10023.259569690537,9999.999999999996,9945.384603498358,50,50,441,258
2019-10-24,10000.0,10148.429749777792,10000.0,9967.09442273281,50,50,379,183
2019-10-25,10000.000000000004,10062.462023415996,9999.999999999998,9842.922991178595,50,50,438,177
2019-10-28,10000.0,10191.85807176338,10000.0,9965.837914004394,50,50,433,187
2019-10-29,9999.999999999995,10045.454970505361,10000.000000000002,9853.156267494043,50,50,418,229
2019-10-30,10000.0,10153.983754382149,10000.0,10011.79241797185,50,50,389,236
2019-10-31,10000.000000000002,10157.133591737318,10000.000000000004,9802.423639151024,50,49,378,173
2019-11-01,9999.999999999996,10150.224818852015,10000.000000000002,9884.04602609974,50,50,494,236
2019-11-04,9999.999999999998,10252.732629446129,9999.999999999998,10017.374167681246,50,50,542,251
2019-11-05,9999.999999999998,10088.6577430898,9999.999999999996,9892.658255894097,50,50,467,235
2019-11-06,10000.000000000004,10040.634275653847,10000.0,9818.926461666713,50,50,562,303
2019-11-07,10000.0,10008.166714087607,10000.0,9951.344095667735,50,50,364,180
2019-11-08,9999.999999999998,10044.748732790038,9999.999999999998,9712.585078535776,50,50,279,135
2019-11-11,10000.0,10033.520060377648,10000.00000000001,10008.637348524964,50,50,395,185
2019-11-12,10000.0,10106.20747454478,9999.999999999998,9922.304081230786,50,50,370,205
2019-11-13,9999.999999999993,10036.618127816117,9999.999999999998,9883.502923726728,50,50,324,140
2019-11-14,10000.0,10112.849383236893,10000.000000000002,9863.278613276325,42,50,330,128
2019-11-15,10000.000000000002,10106.118274809516,10000.0,9999.872484590915,50,50,356,189
2019-11-18,9999.999999999998,10210.166199628206,10000.0,9959.980889257939,50,50,342,196
2019-11-19,9999.999999999998,10036.522106784802,9999.999999999996,9898.254953305837,50,50,314,156
2019-11-20,9999.999999999996,10008.890395452945,10000.000000000002,9900.695295774072,50,50,289,170
2019-11-21,9999.999999999998,10095.020645936975,10000.000000000005,9996.51468151122,36,50,224,123
2019-11-22,10000.0,10027.727204386183,10000.0,9910.733238048184,44,50,299,140
2019-11-25,10000.000000000002,10082.651564844215,9999.999999999996,9941.41097128589,50,50,318,117
2019-11-26,10000.0,10237.651574741107,9999.999999999998,9813.534749004577,45,50,242,91
2019-11-27,9999.999999999996,10260.415123846431,10000.000000000004,9961.629213093835,28,50,196,52
2019-11-29,9999.999999999998,10499.086926670254,10000.000000000002,9899.901527382704,14,38,299,164
2019-12-02,9999.999999999996,10043.250900657413,10000.0,9972.089669665951,31,50,324,212
2019-12-03,9999.999999999996,9857.452560091642,9999.999999999996,9690.916577487791,50,50,283,158
2019-12-04,10000.000000000002,10170.510476629897,10000.0,10038.878029897509,50,50,271,126
2019-12-05,10000.000000000007,10102.183562470265,10000.000000000004,9845.232626633067,50,50,421,185
2019-12-06,10000.000000000002,10100.084996604355,10000.000000000004,9998.884937572606,50,50,259,119
2019-12-09,9999.999999999996,9852.749107746784,10000.0,9991.41579883543,50,50,351,145
2019-12-10,9999.999999999996,10026.042806768428,10000.0,9897.97938699682,50,50,319,151
2019-12-11,9999.999999999998,10083.77491212898,10000.000000000002,9795.114259838401,49,50,482,231
2019-12-12,9999.999999999996,9965.356844467682,10000.000000000004,9979.371793751568,50,50,361,146
2019-12-13,10000.000000000004,10096.25461314245,10000.000000000002,10016.038369132299,50,50,389,224
2019-12-16,9999.999999999996,10057.366639003674,9999.999999999998,9979.359917408745,50,50,378,144
2019-12-17,10000.0,10124.61777032123,10000.000000000004,9916.096691768034,50,50,377,131
2019-12-18,9999.999999999998,10034.971843227415,10000.0,9900.515403348845,50,50,303,121
2019-12-19,10000.0,10002.686709606473,10000.000000000002,9861.442264639083,50,50,392,125
2019-12-20,10000.000000000002,10111.195525225865,10000.000000000004,10016.955980385788,50,41,285,89
2019-12-23,10000.000000000004,10068.739969117823,10000.0,9946.450073616988,50,36,126,43
2019-12-24,10000.0,10257.407534975704,10000.000000000002,9948.267133643929,30,13,114,43
2019-12-26,9999.999999999998,10081.209123981416,10000.000000000002,9997.440680714866,21,22,274,45
2019-12-27,10000.0,10207.098458080454,9999.999999999998,10072.973604661736,15,29,145,31
2019-12-30,10000.000000000002,10066.298040377344,9999.999999999998,9854.715630957493,18,13,108,31
2019-12-31,9999.999999999998,9986.596704442147,9999.999999999998,9355.828538030653,25,6,237,122
2020-01-02,10000.0,10161.97568566759,10000.000000000002,10038.029089409065,50,50,281,168
2020-01-03,9999.999999999995,10127.57288248944,10000.000000000002,9830.195520378797,50,50,295,167
2020-01-06,9999.999999999995,10042.264053372019,10000.0,9918.688597443826,50,50,279,150
2020-01-07,9999.999999999996,10141.555057635502,10000.000000000002,9965.352585107843,50,50,309,190
2020-01-08,10000.0,10049.694868579876,9999.999999999998,9975.509276996429,50,50,448,200
2020-01-09,10000.000000000004,10111.090113902961,10000.0,9784.564016830338,50,50,356,139
2020-01-10,10000.000000000002,10071.936332025158,10000.000000000004,9907.402102829155,50,50,320,161
2020-01-13,9999.999999999998,10035.755216447977,10000.0,9889.103546852566,50,50,279,156
2020-01-14,9999.999999999998,10071.928061544066,9999.999999999995,10033.6935254199,50,50,363,140
2020-01-15,9999.999999999995,10067.907490853666,10000.0,9945.694714555659,50,50,435,162
2020-01-16,10000.0,10106.925245972943,10000.0,9979.431752044467,50,50,497,137
2020-01-17,10000.0,10052.372630032201,10000.0,9948.323784136333,50,50,571,204
2020-01-21,9999.99999999999,9973.850752135853,9999.999999999998,9848.706675319836,50,50,578,170
2020-01-22,9999.999999999998,10076.20499881296,10000.0,9906.3509612882,50,50,386,157
2020-01-23,10000.000000000004,9991.83664081108,10000.000000000007,9851.404692971619,50,50,484,144
2020-01-24,9999.999999999996,10146.097010033758,10000.0,9994.89919213291,50,50,493,301
2020-01-27,9999.999999999996,9764.635824890447,9999.999999999998,9496.016827259713,50,50,435,195
2020-01-28,10000.000000000004,10055.33901594221,9999.999999999998,9860.883827675412,50,50,396,178
2020-01-29,9999.999999999996,10140.381384660133,9999.999999999998,9934.60003169236,49,50,429,251
2020-01-30,10000.0,10136.297564998193,10000.000000000002,9768.729275723184,50,50,437,241
2020-01-31,10000.000000000002,10098.0717901926,10000.0,9995.271780556455,50,50,393,214
2020-02-03,10000.000000000005,9907.60390354657,9999.999999999998,9850.442213759223,50,50,455,257
2020-02-04,10000.0,10123.437086856344,10000.000000000007,10080.74901659721,50,50,468,246
2020-02-05,10000.000000000002,10202.072023944052,10000.000000000002,10046.336095060782,50,50,448,200
2020-02-06,10000.0,10166.547710957253,10000.000000000002,9761.363355819452,50,50,256,162
2020-02-07,10000.000000000002,10051.187757099699,10000.000000000002,9801.326041980396,50,50,382,191
2020-02-10,9999.999999999998,10002.391518737368,10000.0,9929.2534260231,50,50,460,150
2020-02-11,9999.999999999998,10281.132333371941,9999.999999999998,9925.350241085516,50,46,486,200
2020-02-12,10000.000000000002,10083.156361673504,9999.999999999996,9878.371014603468,50,50,397,176
2020-02-13,10000.000000000004,10018.260172166649,10000.000000000002,9817.020001893534,50,49,399,165
2020-02-14,10000.000000000002,10251.22684191235,10000.0,9970.439717170537,50,49,507,243
2020-02-18,9999.999999999998,10050.63969302492,10000.000000000004,9892.495525366132,50,50,469,199
2020-02-19,10000.000000000004,10023.303954442346,10000.000000000002,9940.733543398062,50,50,488,232
2020-02-20,9999.999999999996,10033.895535435553,10000.0,9909.422647362606,50,50,454,233
2020-02-21,10000.000000000002,10061.789365484941,10000.000000000004,9871.45795175063,50,50,484,362
2020-02-24,10000.000000000002,9807.501604761574,10000.0,9581.830595750786,50,50,469,344
2020-02-25,9999.999999999998,10128.667197013128,10000.000000000004,9942.412165238933,50,50,450,290
2020-02-26,10000.000000000004,9819.117978756905,10000.000000000002,9584.285203468322,50,50,834,700
2020-02-27,9999.999999999995,9861.140391122424,10000.000000000004,9567.018722447714,47,50,1009,872
2020-02-28,10000.0,9644.939370988628,10000.000000000002,9562.487411200313,50,50,389,228
2020-03-02,10000.000000000004,10114.443246884308,9999.999999999998,10341.255060861185,50,50,409,264
2020-03-03,10000.0,10344.89315686896,9999.999999999996,10210.348425072962,50,50,434,301
2020-03-04,10000.0,9927.044126473811,10000.000000000004,9996.155923643775,50,50,549,415
2020-03-05,9999.999999999996,10181.486942414529,9999.999999999998,9904.291468920335,36,50,850,740
2020-03-06,10000.000000000002,9637.982242484202,9999.999999999996,9614.767799002711,38,50,542,356
2020-03-09,9999.999999999998,9784.050403920597,10000.0,9110.46369609296,26,50,562,371
2020-03-10,10000.000000000004,10253.16897582408,10000.000000000002,9988.68938057884,50,50,803,664
2020-03-11,10000.000000000002,9891.723049545033,9999.999999999998,9802.608809773252,35,50,1806,1704
2020-03-12,10000.0,9033.414507282438,9999.999999999996,8736.168714557665,27,50,621,461
2020-03-13,10000.000000000004,10367.820737134809,9999.999999999996,10385.158167818481,50,50,682,543
2020-03-16,10000.0,8990.649539911588,10000.000000000002,9034.948992388563,50,50,616,425
2020-03-17,9999.999999999998,10081.022301398736,10000.0,9962.707811322827,50,50,521,314
2020-03-18,10000.000000000002,9559.957610045945,10000.000000000004,9808.8862387987,38,50,1062,885
