HTBK,11.6499996185,11.8100004196
NOV,19.0400009155,19.25
MMLP,3.8699998856,3.7799999714
AXL,6.8299999237,6.7600002289
HCSG,22.0200004578,22.0699996948
ITRN,27.6399993896,27.4699993134
BBVA,4.6900000572,4.8200001717
CTIB,2.2300000191,2.5
PRPH,2.0299999714,2.0399999619
SKT,14.5100002289,14.4200000763
MBUU,26.7399997711,28.2099990845
LOW,110.0199966431,108.3799972534
CRESY,6.0,6.1199998856
UGP,4.0,4.1700000763
NPK,84.4100036621,84.8399963379
MOD,10.0,10.4600000381
CCU,23.0200004578,23.3600006104
MAC,28.1800003052,27.75
UIS,8.0600004196,7.7399997711
NLS,1.2799999714,1.2599999905
VRS,10.5,10.3000001907
BND,84.6999969482,84.6500015259
AGG,113.5100021362,113.5100021362
GOLD,18.5400009155,18.5499992371
HMY,3.2300000191,3.3299999237
AU,21.2800006866,21.5900001526
GFI,5.75,5.8499999046
IAG,3.4400000572,3.4100000858
HL,1.5800000429,1.6100000143
FNV,94.3099975586,94.9000015259
AUY,3.3499999046,3.3199999332
DRD,4.0399999619,3.9700000286
MET,45.8400001526,46.0499992371
PFG,53.8300018311,54.1800003052
CAG,28.7700004578,28.5
UNM,26.5900001526,26.8600006104
LNC,53.8800010681,54.4700012207
RSX,22.0100002289,22.0699996948
FIVE,114.2200012207,117.8799972534
DPZ,233.0800018311,231.1499938965
PFSW,2.4800000191,2.3800001144
AEM,59.1100006104,59.4300003052
SHLX,21.1399993896,21.0599994659
GEVO,2.6700000763,2.7100000381
NFLX,301.6099853516,298.6499938965
TRNX,2.4500000477,2.8499999046
MKC,80.5299987793,80.5049972534
HAIN,18.4599990845,18.4099998474
VNO,60.5800018311,60.0800018311
RGR,41.0499992371,40.6599998474
