DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-01,0,0,0,0,0,0,0,0,0,7,1
2019-01-02,0,0,0,0,41.7799987793,41.1800003052,0,1,0,282,155
2019-01-03,25,27,54.48370544777779,54.805910766136115,86.302299785616,86.68584967136398,36,50,0.7906976744186046,220,104
2019-01-04,29,3,161.469354075771,156.36741998118066,83.29989348173001,81.32176513433201,31,50,0.8271604938271605,182,75
2019-01-07,34,2,87.12837924183782,85.41567513105674,138.68605262668683,136.3881569347895,37,38,1.28,263,101
2019-01-08,40,21,111.02099562645199,111.08510800362,70.14180252080415,69.77182305480208,50,48,0.9693877551020408,296,128
2019-01-09,25,28,56.08350007534001,56.03330019473402,66.25862440347798,66.49819590807002,50,50,0.9,246,102
2019-01-10,32,16,51.300046317428574,51.11876324732041,60.557396783826,59.72801861763402,49,50,0.6868686868686869,221,93
2019-01-11,14,24,71.98230737448077,72.08923038381538,89.18523183584001,90.22249867915397,26,50,1.0,249,84
2019-01-14,19,25,82.26310315552351,81.81011314952649,65.037600011836,65.19453033804602,34,50,1.0595238095238095,266,112
2019-01-15,34,16,45.05556645870202,44.55144002915001,63.02410687923,62.65677305222201,50,50,0.67,187,80
2019-01-16,14,23,83.06516156658063,83.0554836488516,77.70664776101222,77.8586879895653,31,49,0.9,216,85
2019-01-17,31,9,72.38673315854999,71.31376877077058,53.41802288011199,52.41161947272003,34,50,0.8690476190476191,208,89
2019-01-18,18,28,71.36774970690333,71.41558295885334,87.49320275807756,88.16291006244288,30,49,0.7341772151898734,186,68
2019-01-22,12,12,71.09981047141353,72.06693966323785,47.79612853450001,47.8248389151742,37,31,1.2794117647058822,263,122
2019-01-23,16,33,50.558201670649986,50.670988820847626,35.340100336078,35.451999859814,42,50,0.9130434782608695,261,114
2019-01-24,30,17,88.33406765430978,87.48993472500247,69.179486866002,68.725877580646,41,50,1.043956043956044,294,136
2019-01-25,24,32,68.92719925403199,69.07100036143999,58.38333326101,58.876378600589995,50,50,0.69,194,80
2019-01-28,34,15,69.65549482469999,68.86354400023477,66.80022092426472,66.91544147799704,46,34,1.1625,273,150
2019-01-29,32,23,46.250221343034,46.022141351695986,55.871349890828014,55.71629976571002,50,50,0.74,256,98
2019-01-30,18,15,137.97710104783334,135.62071699302,61.405870516294,61.086662304404015,30,50,1.0375,252,119
2019-01-31,21,19,78.75039543289209,78.32723654257896,59.972900390633995,59.309079799654015,38,50,0.9659090909090909,237,106
2019-02-01,23,24,113.85662727696526,113.61859011893266,49.56143169988162,49.47727135736122,49,49,0.6836734693877551,224,79
2019-02-04,24,11,83.30225492926472,82.79212759522642,72.48369290033999,71.98433684774,34,45,0.9367088607594937,194,81
2019-02-05,18,19,92.77593652102307,92.60236588808462,116.76419941300236,115.69585017648332,39,42,0.9629629629629629,247,100
2019-02-06,13,35,108.76850185957223,110.17362613478886,52.63347832680399,53.034385106564,36,50,1.0,248,118
2019-02-07,14,27,70.90378933861666,71.61950345266906,54.691752832528,54.391520843508,42,50,0.8695652173913043,280,119
2019-02-08,20,18,91.93523940524862,91.97816918347026,77.79705035090399,77.126849635842,37,50,0.7701149425287356,185,83
2019-02-11,18,11,79.60922992686923,78.57653863154614,75.190300135612,74.211973166466,26,50,1.0263157894736843,232,84
2019-02-12,22,17,68.54548961434571,68.41024901015142,62.73732554182245,62.29659244478773,35,49,0.8333333333333334,214,91
2019-02-13,10,31,87.18755613963664,87.53061151504333,60.449151296619995,60.45150011062598,30,50,1.0625,272,119
2019-02-14,34,14,70.80755795674547,69.88409335504772,62.205938400169984,61.21359329121002,44,50,0.7978723404255319,393,145
2019-02-15,18,17,98.0603031967606,97.98060595628485,82.94500044822799,82.660300221444,33,50,0.9156626506024096,279,94
2019-02-19,22,23,60.11071151845001,59.83436256297058,78.04017761230597,77.74189794063201,34,50,0.8809523809523809,264,100
2019-02-20,17,20,77.62609411031251,78.13825000822187,51.27159586906599,51.115941402907985,32,50,0.9390243902439024,288,126
2019-02-21,13,22,48.18969750404847,48.45939383361817,48.67125012158599,48.688254802230006,33,50,1.036144578313253,309,123
2019-02-22,25,10,80.01018209234884,79.4323867143558,49.237225697961215,48.555560739667335,43,49,0.7282608695652174,242,72
2019-02-25,5,39,73.13681791044546,73.37681763822272,128.57250010014,129.73350098608796,22,50,1.2916666666666667,237,109
2019-02-26,15,27,82.26486514092203,82.428206701276,66.44043450832001,66.437082061766,50,50,0.74,274,137
2019-02-27,15,19,104.34184769458611,103.67428450783612,78.54240113019999,78.12299931526002,36,50,1.0348837209302326,250,116
2019-02-28,35,24,101.97216055392201,100.61604378223001,65.088999531274,64.93540035604804,50,50,0.71,268,104
2019-03-01,19,26,73.87669895489667,73.98789161046001,50.277199391124,49.957200131416016,30,50,1.0875,226,97
2019-03-04,8,30,78.82186055183722,80.0872097181698,101.26640132427602,102.23000065326998,43,50,0.7419354838709677,225,96
2019-03-05,14,29,74.2358211594559,74.45487756239412,91.575937397478,91.831140501498,34,50,0.7261904761904762,217,78
2019-03-06,5,36,89.59000019594545,90.16818157109091,50.972273006436005,51.794861211774,22,50,1.0416666666666667,243,115
2019-03-07,4,37,74.72615354182821,75.55871730431282,108.555912940502,110.220736181734,39,50,0.7078651685393258,230,102
2019-03-08,14,12,72.02044095712353,71.97058773040588,34.767959073781995,34.461826322082,17,50,0.9104477611940298,191,81
