DATE,investment long,earning long,investment short,earning short,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2018-12-31,0,0,0,0,0,0,0,333,333
2019-01-03,9999.999999999996,9961.10308526068,10000.000000000004,10062.773299579416,35,45,0.0,198,198
2019-01-04,9999.999999999998,10305.07233306786,9999.999999999995,10262.25682129878,31,47,0.0,227,227
2019-01-07,9999.999999999998,10286.852830889895,10000.000000000004,10147.314810474536,39,43,0.0,268,268
2019-01-08,10000.000000000002,10046.343048905172,9999.999999999996,10039.789376877254,36,47,0.0,285,285
2019-01-09,10000.000000000002,9938.839098991735,10000.0,9966.180531373237,35,46,0.0,244,244
2019-01-10,10000.000000000004,9963.022707971695,10000.0,9997.322753682663,35,45,0.0,226,226
2019-01-11,9999.999999999998,9994.75137622849,10000.000000000002,9915.915669032747,32,46,0.0,263,263
2019-01-14,10000.0,10096.774739203403,10000.000000000002,9882.778382485269,48,45,0.0,293,293
2019-01-15,10000.000000000002,10059.401026263688,9999.999999999996,10125.722096141119,31,46,0.0,190,190
2019-01-16,10000.0,9952.154294170528,9999.999999999995,9957.720964153234,33,48,0.0,250,250
2019-01-17,10000.0,10149.06159074605,10000.000000000004,10141.876667058605,33,49,0.0,200,200
2019-01-18,10000.0,9919.212726870812,10000.0,10028.294625479562,31,45,0.0,242,242
2019-01-22,10000.0,9988.937021295935,10000.000000000002,9929.86873383295,45,48,0.0,276,276
2019-01-23,10000.0,9878.243903178654,10000.0,10092.593138820412,31,49,0.0,270,270
2019-01-24,10000.000000000002,9989.214288753321,9999.999999999998,10048.92758029809,31,42,0.0,275,275
2019-01-25,10000.0,9878.259955948135,9999.999999999998,10092.424253065097,32,50,0.0,223,223
2019-01-28,10000.0,9945.553596656677,9999.999999999998,9971.84957384859,34,48,0.0,304,304
2019-01-29,9999.999999999998,10015.60339117587,9999.999999999998,10020.583423286103,32,49,0.0,273,273
2019-01-30,10000.0,10292.76128203885,10000.000000000004,10103.892295755722,33,43,0.0,267,267
2019-01-31,10000.0,10131.147204853984,10000.000000000002,10102.031861625817,32,49,0.0,218,218
2019-02-01,10000.000000000002,9897.048508948028,10000.0,9948.29307435202,45,49,0.0,238,238
2019-02-04,10000.0,10016.808520658782,9999.999999999996,10074.118692112594,31,46,0.0,222,222
2019-02-05,10000.000000000004,10042.758875808451,10000.000000000002,9916.895743987187,42,48,0.0,265,265
2019-02-06,9999.999999999996,9743.084592746025,9999.999999999998,9984.356609901235,33,48,0.0,285,285
2019-02-07,10000.0,9812.145003989535,10000.000000000002,9881.763244877382,32,45,0.0,247,247
2019-02-08,9999.999999999996,10111.902909665072,9999.999999999998,10063.776732169164,38,46,0.0,220,220
2019-02-11,9999.999999999998,10096.275620762295,10000.000000000002,10086.746506857833,34,46,0.0,264,264
2019-02-12,9999.999999999998,10072.443144329513,10000.000000000002,10161.096727669219,32,46,0.0,256,256
2019-02-13,9999.999999999996,9902.372160596142,10000.0,9985.072427827277,37,44,0.0,303,303
2019-02-14,10000.000000000002,10097.799295348335,10000.000000000002,10082.523651259558,37,47,0.0,370,370
2019-02-15,9999.999999999998,10031.595308303094,10000.000000000004,9907.781065066692,33,46,0.0,319,319
2019-02-19,9999.999999999998,9935.104762868204,10000.0,10050.156953099322,40,48,0.0,294,294
2019-02-20,10000.000000000002,9936.015991331036,10000.000000000002,9959.576306163133,35,46,0.0,337,337
2019-02-21,10000.000000000002,10024.5678382494,10000.0,9939.611953185222,42,47,0.0,249,249
2019-02-22,9999.999999999998,10116.404123244874,10000.000000000004,10088.32683761001,31,49,0.0,260,260
2019-02-25,10000.0,9924.12312168484,9999.999999999998,9903.17308957024,33,47,0.0,292,292
2019-02-26,9999.999999999996,10086.731190718068,9999.999999999995,10039.5866457842,46,49,0.0,270,270
2019-02-27,10000.0,10020.213830919285,9999.999999999993,9971.160498367903,39,48,0.0,286,286
2019-02-28,9999.999999999995,10115.212942329226,10000.000000000002,10007.933247511084,35,49,0.0,258,258
2019-03-01,9999.999999999998,10000.998134514333,9999.999999999993,10005.701496872072,39,46,0.0,228,228
2019-03-04,10000.0,10011.796512958084,9999.999999999996,9906.556491673322,30,48,0.0,226,226
2019-03-05,10000.0,10076.224986990646,10000.000000000002,9999.448463000746,39,47,0.0,239,239
2019-03-06,10000.0,9833.557936119161,10000.000000000002,9901.82783065064,31,47,0.0,249,249
2019-03-07,9999.999999999998,9849.629397416611,10000.000000000005,9608.812206520357,33,45,0.0,206,206
2019-03-08,10000.000000000002,10102.260962273569,10000.000000000005,10105.902372503864,31,47,0.0,225,225
2019-03-11,10000.000000000002,10153.74013470855,10000.000000000004,10158.839656107806,32,47,0.0,197,197
