UAL,80.6800003052,79.2799987793
ENDP,9.3800001144,9.3699998856
TRN,21.6399993896,21.6200008392
ELLO,8.5399999619,8.5
EWU,30.4500007629,30.2700004578
PBR,15.220000267,15.1700000763
DRRX,0.6200000048,0.6399999857
PPG,101.9100036621,101.2900009155
GHL,27.2099990845,28.2299995422
CBZ,20.0799999237,20.2099990845
RDWR,22.9300003052,22.7800006866
QGEN,36.0699996948,35.9300003052
SLCA,12.1899995804,12.25
REGN,405.6499938965,408.1600036621
SNY,42.5400009155,41.8800010681
DAL,48.2200012207,47.5699996948
RH,127.5,128.4799957275
FHN,14.1099996567,14.1700000763
SR,74.5800018311,73.9300003052
URBN,31.8799991608,32.2900009155
TRMK,29.0400009155,29.0
WEN,16.3700008392,16.4599990845
NJR,45.4399986267,44.6399993896
UCBI,23.1800003052,23.3899993896
H,67.9800033569,67.7099990845
EVR,79.5999984741,80.6200027466
KIRK,9.7299995422,9.9499998093
NDAQ,80.0,80.0500030518
ASUR,5.7100000381,5.5700001717
AJG,73.2699966431,72.3899993896
PCG,17.0,9.2100000381
FDX,169.4900054932,169.8699951172
OI,18.1200008392,18.4599990845
PNC,118.8199996948,119.2799987793
BIG,30.5300006866,31.1399993896
MS,41.2799987793,41.3100013733
ICE,72.4300003052,72.3499984741
CMC,15.9799995422,16.1200008392
NUVA,45.7000007629,45.2000007629
EWW,44.3499984741,44.1500015259
DG,116.5,115.8199996948
ANET,53.9900016785,54.0224990845
AAP,164.5099945068,157.7899932861
FIVE,122.2200012207,113.0
LEN,45.1699981689,46.0
AXGN,15.8599996567,16.1100006104
BTI,32.3499984741,32.5200004578
LLY,115.2699966431,115.1999969482
MO,49.0,48.9599990845
WTFC,70.1699981689,70.2699966431
